entity_id,type,debit,credit,amount,currency,fee,tax,on_hold,settled,created_at,settled_at,settlement_id,description,notes,payment_id,settlement_utr,order_id,order_receipt,method,card_network,card_issuer,card_type,dispute_id
recon_8S63E1OCJXZEFL,payment,0,118059,120620,INR,2171,390,False,True,1738009800,1738182600,setl_0Y4VPW232UTVG9,Payment for Service Charge,"{""order"": ""order_HP0XI5BJ5D5E3H""}",pay_K2U1RSUJT9T11P,UTR49911562127,order_HP0XI5BJ5D5E3H,INV-42447,card,Visa,SBI,credit,
recon_3DNKN35XYCUVFM,payment,0,178214,182080,INR,3277,589,False,True,1738067400,1738326600,setl_PDDHCVSQAME4YR,Payment for Renewal,"{""order"": ""order_65K55DMCXXBW01""}",pay_4261BW4A7FQ9P9,UTR62522926856,order_65K55DMCXXBW01,INV-37925,netbanking,,,,
recon_VL00EZZF8S2ZGE,payment,0,128606,131396,INR,2365,425,False,True,1738175400,1738434600,setl_LSH3TOW4YCZ04C,Payment for Add-on Module,"{""order"": ""order_CJBC2SWSOZCTWJ""}",pay_VT997E4UNY181A,UTR24750994709,order_CJBC2SWSOZCTWJ,INV-45227,wallet,,,,
recon_76SZN9DDE3CUP8,payment,0,219025,223238,INR,3571,642,False,True,1738240200,1738326600,setl_M458AX40DTIRC9,Payment for Basic Subscription,"{""order"": ""order_UKWQVR1H61IAOI""}",pay_S6G298CQK4LTAH,UTR47416262473,order_UKWQVR1H61IAOI,INV-41034,card,RuPay,HDFC,debit,
recon_WXR5RDNPX2I9TA,payment,0,187444,191511,INR,3447,620,False,True,1738355400,1738614600,setl_43E7B7P0RNPM6J,Payment for Service Charge,"{""order"": ""order_IHOY7DV7C9HX3D""}",pay_BK3G84UTDD2EC2,UTR14933334343,order_IHOY7DV7C9HX3D,INV-60134,wallet,,,,
recon_LYE088O98BV78H,payment,0,419613,427686,INR,6842,1231,False,True,1738416600,1738589400,setl_VML90PXRLZU6WM,Payment for Renewal,"{""order"": ""order_MG25CFZFDSNCZX""}",pay_8438TGBCVARLW3,UTR90167848082,order_MG25CFZFDSNCZX,INV-84127,card,Visa,SBI,credit,
recon_6JXNNNGBPJ4UFZ,payment,0,416003,424008,INR,6784,1221,False,True,1738521000,1738693800,setl_TRBAD3WRDHW9RE,Payment for Top-up Credit,"{""order"": ""order_XVPBL9OT7TXKDO""}",pay_AJDM5FC79M96ZP,UTR64910626781,order_XVPBL9OT7TXKDO,INV-22675,upi,,,,
recon_M2L44Y9IK01L0V,payment,0,356299,363154,INR,5810,1045,False,True,1738600200,1738686600,setl_ONRVBJFVYB6LI0,Payment for Enterprise Package,"{""order"": ""order_WSPOFV177UDKTM""}",pay_9W4J66CNOLJQ52,UTR48314694499,order_WSPOFV177UDKTM,INV-21703,wallet,,,,
recon_YRMJLJX8XGSIC4,payment,0,96022,98104,INR,1765,317,False,True,1738683000,1738855800,setl_J64QHKSWVA984U,Payment for Renewal,"{""order"": ""order_XS58YREG2IV7ZZ""}",pay_TM4J3DAB42HHIH,UTR94154612271,order_XS58YREG2IV7ZZ,INV-88647,wallet,,,,
recon_861TAA0I5LDSLC,payment,0,118944,121524,INR,2187,393,False,True,1738794600,1738967400,setl_CQH1UF22EPPPRA,Payment for Consultation Fee,"{""order"": ""order_5F9M969F5GCL9L""}",pay_NVQEBWUWQHEYTO,UTR38062382605,order_5F9M969F5GCL9L,INV-15992,card,Mastercard,SBI,debit,
recon_B354MYPE46AEXL,payment,0,219291,223510,INR,3576,643,False,True,1738855800,1739028600,setl_RIADDUR82C06XQ,Payment for Platform Access,"{""order"": ""order_WK2RV239MOFT6Y""}",pay_EJZHYAPDSWZP6S,UTR52852138356,order_WK2RV239MOFT6Y,INV-67372,wallet,,,,
recon_OUADVWKSHY8NBI,payment,0,62849,64211,INR,1155,207,False,True,1738931400,1739104200,setl_CRI8BIXOIQ2Q4Q,Payment for Monthly Pass,"{""order"": ""order_XIMYN4U9BXF445""}",pay_BJLZY1UU9YMSZD,UTR12806215682,order_XIMYN4U9BXF445,INV-69566,wallet,,,,
recon_TWZ1UU7ZY6T5PA,payment,0,435690,444073,INR,7105,1278,False,True,1739021400,1739280600,setl_EV5S4TL0THHZY7,Payment for Monthly Pass,"{""order"": ""order_3DXVL5PVYIOMK2""}",pay_QVS8A0TPV726YG,UTR98950475418,order_3DXVL5PVYIOMK2,INV-23955,upi,,,,
recon_H1T939AYQ6WW8Y,payment,0,109109,111476,INR,2006,361,False,True,1739118600,1739291400,setl_XRUM2LHGCSOTDH,Payment for Enterprise Package,"{""order"": ""order_NPUEVJLZFFLB7W""}",pay_6ZX1TV18KGYGGS,UTR54375101806,order_NPUEVJLZFFLB7W,INV-52065,wallet,,,,
recon_EAVT8K06MOXSFH,payment,0,83794,85611,INR,1540,277,False,True,1739215800,1739302200,setl_3BFH024KWK585X,Payment for Monthly Pass,"{""order"": ""order_AZC0B4MSKYVK7N""}",pay_ZBCGJC36OQOLOE,UTR83062333814,order_AZC0B4MSKYVK7N,INV-43127,upi,,,,
recon_G8X80RMHRCNBH6,payment,0,409042,416912,INR,6670,1200,False,True,1739298600,1739385000,setl_T9Q1NI10KQSOSX,Payment for Standard Tier,"{""order"": ""order_FTJ5CCASBUOV6T""}",pay_0P4E05QMKTGV44,UTR29388069411,order_FTJ5CCASBUOV6T,INV-57349,netbanking,,,,
recon_INDH4SPFDRWB2S,payment,0,148992,152225,INR,2740,493,False,True,1739392200,1739478600,setl_KDQ95G3V23GXJ0,Payment for Annual License,"{""order"": ""order_UFWBUCJG8VUAZX""}",pay_GNZEI3ZRRHF4AB,UTR93552018050,order_UFWBUCJG8VUAZX,INV-25403,netbanking,,,,
recon_CBN9WSZV83XPHX,payment,0,65359,66776,INR,1201,216,False,True,1739457000,1739629800,setl_FHOMTZZF8ADF7P,Payment for Platform Access,"{""order"": ""order_2RNTJLMZ04X0QZ""}",pay_XYLNFXJ4PNJY1O,UTR44634961846,order_2RNTJLMZ04X0QZ,INV-77915,upi,,,,
recon_5HHIWFD7YXW1TB,payment,0,265310,270414,INR,4326,778,False,True,1739572200,1739658600,setl_3IDY3C7RM6J8Y6,Payment for Service Charge,"{""order"": ""order_QQVAECW9YIL8SA""}",pay_CK82853UY8U118,UTR40922332347,order_QQVAECW9YIL8SA,INV-73214,upi,,,,
recon_HUXG2MYR06NKWF,payment,0,126584,129329,INR,2327,418,False,True,1739655000,1739914200,setl_UOYC3RWQMMU7JA,Payment for Annual License,"{""order"": ""order_NF8F3GR94SZ2KU""}",pay_RHZN4KGEUIDJIP,UTR57765351325,order_NF8F3GR94SZ2KU,INV-31964,card,Amex,SBI,debit,
recon_TYR1K12V2TG5PI,payment,0,248308,253085,INR,4049,728,False,True,1739719800,1739892600,setl_5PXT6RIDLOFAS1,Payment for Premium Plan,"{""order"": ""order_BM65Q57TE8TVQ0""}",pay_1S9DWD7OI0PESG,UTR57830046248,order_BM65Q57TE8TVQ0,INV-94671,upi,,,,
recon_A2VOI8UYYF1IRY,payment,0,258798,263777,INR,4220,759,False,True,1739813400,1739986200,setl_O87F00TERKMBY9,Payment for Consultation Fee,"{""order"": ""order_JNA9ZN9I9H0DXH""}",pay_P2RNZBC1FJOTG6,UTR96912811478,order_JNA9ZN9I9H0DXH,INV-54357,netbanking,,,,
recon_32CWT04CHSDING,payment,0,236065,240606,INR,3849,692,False,True,1739917800,1740090600,setl_NRWVBHZA7X73QX,Payment for Premium Plan,"{""order"": ""order_FKOLDXB7GBDGBX""}",pay_1S05WNWLC83GY1,UTR84564609628,order_FKOLDXB7GBDGBX,INV-96098,card,RuPay,SBI,debit,
recon_7E1047WWBSLULZ,payment,0,481306,490567,INR,7849,1412,False,True,1739986200,1740159000,setl_CLRR6Z3DXB3N27,Payment for Platform Access,"{""order"": ""order_SUUDQFJ6IJKUUH""}",pay_ABKAE6A9HL1737,UTR58680832852,order_SUUDQFJ6IJKUUH,INV-30079,card,RuPay,AXIS,debit,
recon_CXX6MDK5N9SZ6R,payment,0,222772,227057,INR,3632,653,False,True,1740087000,1740173400,setl_SJR0FZAUXBGK2W,Payment for Consultation Fee,"{""order"": ""order_EB8753AYEQAHTH""}",pay_VAK9W9PFB3HN14,UTR70357541555,order_EB8753AYEQAHTH,INV-88263,card,RuPay,ICICI,debit,
recon_IYMYRSVZN4REGB,payment,0,353659,360464,INR,5767,1038,False,True,1740148200,1740407400,setl_5OOP767J2DG1WJ,Payment for Platform Access,"{""order"": ""order_E99F77LU8EL501""}",pay_IF86LTHET25LZS,UTR94039810165,order_E99F77LU8EL501,INV-11967,netbanking,,,,
recon_6UXF5GZPL1QWEE,payment,0,24977,25579,INR,511,91,False,True,1740223800,1740310200,setl_LXZF0DZWDZ09WF,Payment for Service Charge,"{""order"": ""order_DSGV6TOLAQ665D""}",pay_18GP51KFK7Y6QX,UTR63903325143,order_DSGV6TOLAQ665D,INV-36588,wallet,,,,
recon_9OMUWAHK2LSLAY,payment,0,87684,89586,INR,1612,290,False,True,1740353400,1740612600,setl_MEUSWRGVZ9AAWE,Payment for Premium Plan,"{""order"": ""order_WD0W9RY79KVLS9""}",pay_DKNNCPTKEZJSSZ,UTR39412235780,order_WD0W9RY79KVLS9,INV-54742,card,Mastercard,AXIS,debit,
recon_QBSXLUL6LGJLPE,payment,0,178931,182813,INR,3290,592,False,True,1740400200,1740573000,setl_LL1D9S9HBN5ELB,Payment for Add-on Module,"{""order"": ""order_KSGNBHDS26FMR5""}",pay_TFVGE2L4ZJD5N3,UTR95247043558,order_KSGNBHDS26FMR5,INV-29571,wallet,,,,
recon_UMYGY0Z4EVLDQL,payment,0,349995,356729,INR,5707,1027,False,True,1740504600,1740677400,setl_OZDUCKQVIIFRCH,Payment for Monthly Pass,"{""order"": ""order_G7L4LRCER4KMUS""}",pay_UD2ZDLX1Q8F6JN,UTR90290375722,order_G7L4LRCER4KMUS,INV-63188,upi,,,,
recon_IPAR0ZJ7UBBRNU,payment,0,267464,272609,INR,4361,784,False,True,1740591000,1740763800,setl_F5X9EE346Z7WQP,Payment for Annual License,"{""order"": ""order_OPHGFT4MPK5EAX""}",pay_4C68AU9DKBPVWZ,UTR73651722100,order_OPHGFT4MPK5EAX,INV-20494,wallet,,,,
recon_01TNZRF5A7QY8Y,payment,0,294871,300544,INR,4808,865,False,True,1740670200,1740843000,setl_FR91IPWH0MX1EG,Payment for Renewal,"{""order"": ""order_GVFQ3JZR25MDF7""}",pay_B93WKCS4KEK4AE,UTR76137105319,order_GVFQ3JZR25MDF7,INV-15376,card,Visa,AXIS,credit,
recon_JQ6FX7XJZ6US7R,payment,0,34001,34822,INR,696,125,False,True,1740774600,1741033800,setl_JPR7VGRF1HX6ZD,Payment for Renewal,"{""order"": ""order_W7JP61LFC1NLC8""}",pay_WZE4EX6U86ZJQ7,UTR18903121483,order_W7JP61LFC1NLC8,INV-67154,netbanking,,,,
recon_H2P39YL9UE421V,payment,0,460252,469107,INR,7505,1350,False,True,1740861000,1741120200,setl_A6WIXAW63DW4C3,Payment for Standard Tier,"{""order"": ""order_MZOHXS75T0IC0R""}",pay_GBA9IN2XR838AM,UTR74914907441,order_MZOHXS75T0IC0R,INV-53975,wallet,,,,
recon_LD05NHQR6F7QNE,payment,0,373825,381018,INR,6096,1097,False,True,1735774200,1735860600,setl_21B07G2RE6ZVLH,Payment for Renewal,"{""order"": ""order_XJG2Y8RGYBXKPM""}",pay_8W2MAIETDN1TH1,UTR41463577319,order_XJG2Y8RGYBXKPM,INV-35448,wallet,,,,
recon_T22C50B8Y5DNWN,payment,0,302978,308807,INR,4940,889,False,True,1735857000,1736116200,setl_9QEZG5WZAWNYTK,Payment for Renewal,"{""order"": ""order_C1YOHMI9AYFQUV""}",pay_866PB90SPO3ZDR,UTR47593367744,order_C1YOHMI9AYFQUV,INV-32972,netbanking,,,,
recon_TGGZ62FE9UPNHZ,payment,0,49697,50774,INR,913,164,False,True,1735911000,1736170200,setl_Z4QKE2GJR81BMQ,Payment for Platform Access,"{""order"": ""order_MPXKC5I8XOMXLV""}",pay_6K8DJZR5SWK8TE,UTR92318902566,order_MPXKC5I8XOMXLV,INV-97235,upi,,,,
recon_DO6OUZ1EGNTB34,payment,0,64870,66276,INR,1192,214,False,True,1736022600,1736195400,setl_H50OPF060O4VFK,Payment for Monthly Pass,"{""order"": ""order_RVSCYOZPNAMLQU""}",pay_MLVHS21HD4Y89O,UTR20030538552,order_RVSCYOZPNAMLQU,INV-49834,card,Visa,AXIS,credit,
recon_YFP9S8GK0EEYYL,payment,0,79884,81617,INR,1469,264,False,True,1736094600,1736267400,setl_FHS32UY84ZZ2P6,Payment for Annual License,"{""order"": ""order_L42JZNTMFEK2O7""}",pay_BNW8BKXCGW1VGL,UTR74499153398,order_L42JZNTMFEK2O7,INV-37504,card,Amex,ICICI,debit,
recon_G9RDPXDFOVD79C,payment,0,39866,40828,INR,816,146,False,True,1736199000,1736371800,setl_ZCRNQ0Y4IO9P46,Payment for Renewal,"{""order"": ""order_YD49PSO1LQSRNK""}",pay_1TZ8G1A0774RZG,UTR77870947549,order_YD49PSO1LQSRNK,INV-36094,upi,,,,
recon_BB4M0A6MDMMMXI,payment,0,172673,176419,INR,3175,571,False,True,1736267400,1736353800,setl_ZRDYXYUR4SOR8W,Payment for Top-up Credit,"{""order"": ""order_BP6NLNQBU4KZRE""}",pay_WDC112HXRJM4T8,UTR52854251432,order_BP6NLNQBU4KZRE,INV-94945,netbanking,,,,
recon_I014O46W4JKFYI,payment,0,409808,417693,INR,6683,1202,False,True,1736361000,1736447400,setl_SGRX37JW34670C,Payment for Service Charge,"{""order"": ""order_MC3SKXLOJSYT5W""}",pay_HJKU2W8ZUVJUTP,UTR58106416966,order_MC3SKXLOJSYT5W,INV-41258,upi,,,,
recon_N3E54N6O9JD3IH,payment,0,484797,494126,INR,7906,1423,False,True,1736458200,1736717400,setl_2FRNLX6B02B7YJ,Payment for Service Charge,"{""order"": ""order_HDHJO5CTZETRIJ""}",pay_XU1SRDV1L30307,UTR50306937565,order_HDHJO5CTZETRIJ,INV-31001,upi,,,,
recon_H83J0NPHH30GG2,payment,0,328095,334408,INR,5350,963,False,True,1736519400,1736778600,setl_J4BWVF8GUAS173,Payment for Annual License,"{""order"": ""order_KDNON4UAAUWIDQ""}",pay_IZ1XEVO7Q5EGVL,UTR25007255813,order_KDNON4UAAUWIDQ,INV-13771,card,RuPay,HDFC,credit,
recon_HK403UXH9A1G7I,payment,0,207934,211934,INR,3390,610,False,True,1736613000,1736699400,setl_PGBGQFQE6RP9UQ,Payment for Top-up Credit,"{""order"": ""order_P6J37SPF0R8U7W""}",pay_GRMQDZPJL9R9KM,UTR23520787737,order_P6J37SPF0R8U7W,INV-75288,card,Mastercard,HDFC,credit,
recon_YKIPUT7SSOQZ3M,payment,0,286358,291867,INR,4669,840,False,True,1736688600,1736775000,setl_WPPBMQIYFRWSKP,Payment for Basic Subscription,"{""order"": ""order_3LYEX3SR5RUP13""}",pay_OG85D4F2K1XERP,UTR50706030853,order_3LYEX3SR5RUP13,INV-86751,wallet,,,,
recon_CAUTJX6EWXQPF0,payment,0,423172,431315,INR,6901,1242,False,True,1736778600,1737037800,setl_D4PORU09BOS076,Payment for Annual License,"{""order"": ""order_FPE60QRAQIK3OM""}",pay_EG3ZGARFI44TD1,UTR78150969939,order_FPE60QRAQIK3OM,INV-71504,card,Amex,SBI,credit,
recon_81A4RKGJZOWI1T,payment,0,14163,14505,INR,290,52,False,True,1736865000,1737037800,setl_3BDW56FKPS0DXM,Payment for Annual License,"{""order"": ""order_FYSYZ7PQ4DDV28""}",pay_36BCPWEIJMMB5J,UTR23476630130,order_FYSYZ7PQ4DDV28,INV-39908,card,RuPay,SBI,credit,
recon_X4IKY3UFN0DSG2,payment,0,165867,169466,INR,3050,549,False,True,1736980200,1737239400,setl_KPS04JSE17QUAM,Payment for Standard Tier,"{""order"": ""order_Z5STHSLMWA6TJ3""}",pay_OX5WWPM3X15DTO,UTR89807337771,order_Z5STHSLMWA6TJ3,INV-69547,card,Visa,SBI,credit,
recon_860X5ZU2ZUEUGW,payment,0,388896,396379,INR,6342,1141,False,True,1737055800,1737142200,setl_2RZV1SQQQ5L2XO,Payment for Service Charge,"{""order"": ""order_VB66H3REM5PUU6""}",pay_N8VOEUBFN9KR2F,UTR54647890705,order_VB66H3REM5PUU6,INV-85609,netbanking,,,,
recon_38WXGC7JJY94H4,payment,0,84036,85859,INR,1545,278,False,True,1737113400,1737199800,setl_1XEUQ4S2FTGI88,Payment for Renewal,"{""order"": ""order_SS8JLTCBW6ATVD""}",pay_8GZKDF6J76BIVI,UTR72513902885,order_SS8JLTCBW6ATVD,INV-46872,card,Amex,ICICI,credit,
recon_CECJUIS2GY9YTJ,payment,0,465422,474378,INR,7590,1366,False,True,1737232200,1737318600,setl_IRNK6ZHH3O5URT,Payment for Platform Access,"{""order"": ""order_ZAQ7QHAK7MDWKZ""}",pay_T2XCB3YYM33MG1,UTR94535193872,order_ZAQ7QHAK7MDWKZ,INV-83415,wallet,,,,
recon_M72QLGDVC2GUWJ,payment,0,37054,37948,INR,758,136,False,True,1737318600,1737405000,setl_WCYUKND1IVXAN2,Payment for Premium Plan,"{""order"": ""order_W1WUDCBL4CE7PK""}",pay_R3VWMJDIMBM271,UTR95383684269,order_W1WUDCBL4CE7PK,INV-65182,upi,,,,
recon_N2D7KI3X79955C,payment,0,362294,369265,INR,5908,1063,False,True,1737408600,1737495000,setl_W6M9HKHJG4IHGJ,Payment for Renewal,"{""order"": ""order_HR133NO3AAMTFP""}",pay_Y4UMKLD56R7WYQ,UTR10434608701,order_HR133NO3AAMTFP,INV-28931,wallet,,,,
recon_MTMYJ014GVE4ZT,payment,0,243720,248409,INR,3974,715,False,True,1737462600,1737549000,setl_PNRJAPJC6KSTCJ,Payment for Consultation Fee,"{""order"": ""order_PNF4JD1KSIBSMQ""}",pay_ZSR8RUW2XH6QIH,UTR23863044605,order_PNF4JD1KSIBSMQ,INV-44227,netbanking,,,,
recon_SG4OFDTRC85EHP,payment,0,301970,307780,INR,4924,886,False,True,1737545400,1737718200,setl_Q6DDTBYRGC8KIX,Payment for Top-up Credit,"{""order"": ""order_F8LWVV59HOTGDU""}",pay_7A34MPYO2TLA27,UTR70430101504,order_F8LWVV59HOTGDU,INV-97135,netbanking,,,,
recon_4VGE0GYAJPGZ6T,payment,0,473429,482538,INR,7720,1389,False,True,1737639000,1737725400,setl_04OAE7L0RCTI8F,Payment for Standard Tier,"{""order"": ""order_T9CD1LQJSQCZ0N""}",pay_UO8I5JWK6Z0HR9,UTR47883444164,order_T9CD1LQJSQCZ0N,INV-67941,netbanking,,,,
recon_9IW6L01WCNKFHB,payment,0,327319,333616,INR,5337,960,False,True,1737750600,1738009800,setl_ZY9YLW5L4RMVVN,Payment for Renewal,"{""order"": ""order_NCHKV9DT94G8V9""}",pay_HT7EHMGOLOQC3X,UTR79717736545,order_NCHKV9DT94G8V9,INV-88390,netbanking,,,,
