bank_txn_id,narration_text,value_date,amount,utr_reference
BNK_4D24N9YGCMR8ES,RTGS/UTR50337507628/RAZORPAY/INDUSIND,2025-01-30,308427,UTR50337507628
BNK_2XQUZS9MTHD3IG,RTGS/UTR20688297835/RAZORPAY/AXIS,2025-02-02,327414,UTR20688297835
BNK_9ZIVZG92SJP753,RTGS/UTR26860477632/RAZORPAY/ICICI,2025-02-02,314643,UTR26860477632
BNK_T6O6A1JQNN6TJ9,UPI/UTR57976863318/RAZORPAY/SBI/8110,2025-02-02,214012,UTR57976863318
BNK_ZI6GAXLKKVPJRM,NEFT/UTR69359065445/RAZORPAY/ICICI,2025-02-03,7858,UTR69359065445
BNK_TGBIBF57J2XI3T,NEFT/UTR92321359537/RAZORPAY/YES,2025-02-05,356214,UTR92321359537
BNK_163LRITJTABTD5,UPI/UTR65050739903/RAZORPAY/SBI/4675,2025-02-07,194304,UTR65050739903
BNK_NH4NRED6M42FQ4,NACH/UTR78617854565/RAZORPAY/INDUSIND/4679,2025-02-05,17169,UTR78617854565
BNK_LTWBJ9UU2BL7AM,RTGS/UTR45033191981/RAZORPAY/INDUSIND,2025-02-08,33481,UTR45033191981
BNK_N48NYSJ5YWX0I3,NEFT/UTR78695444373/RAZORPAY/SBI,2025-02-07,166267,UTR78695444373
BNK_700LFQF5E8OSAQ,IMPS/UTR62716021930/RAZORPAY/FEDERAL,2025-02-09,154047,UTR62716021930
BNK_6OAFN33VM89I9G,UPI/UTR24651334606/RAZORPAY/HDFC,2025-02-12,302418,UTR24651334606
BNK_99RWTF07GBASF5,NEFT/UTR96516831328/RAZORPAY/AXIS/3270,2025-02-12,302148,UTR96516831328
BNK_LLH2R9PEGLNUKX,NACH/UTR59523112618/RAZORPAY/HDFC,2025-02-11,117666,UTR59523112618
BNK_C8CAH3GDHVS41L,UPI/UTR54082372370/RAZORPAY/SBI,2025-02-15,150817,UTR54082372370
BNK_6FARMGJCY4V8UR,IMPS/UTR40541868033/RAZORPAY/FEDERAL/1284,2025-02-13,59114,UTR40541868033
BNK_PXAJMK4X1FDJ9H,NACH/UTR62962082116/RAZORPAY/ICICI/1526,2025-02-16,296703,UTR62962082116
BNK_73WHCF5SIDASO7,RTGS/UTR15554866701/RAZORPAY/INDUSIND,2025-02-17,248304,UTR15554866701
BNK_DD7R1930I6G61P,NEFT/UTR63794704393/RAZORPAY/HDFC,2025-02-17,99338,UTR63794704393
BNK_MJM1FT07X5IC86,NEFT/UTR97735494889/RAZORPAY/YES,2025-02-17,63637,UTR97735494889
BNK_8RC64SKTE02BIP,UPI/UTR18834248032/RAZORPAY/ICICI/1553,2025-02-18,219016,UTR18834248032
BNK_8PJ2JRIG5XIXGS,UPI/UTR44424950648/RAZORPAY/YES/4734,2025-02-22,143599,UTR44424950648
BNK_I397I6YXV2MEOS,IMPS/UTR88273979421/RAZORPAY/FEDERAL,2025-02-23,36014,UTR88273979421
BNK_RIG7JVDIKDTSGV,NEFT/UTR89858703279/RAZORPAY/AXIS/1422,2025-02-23,402347,UTR89858703279
BNK_TKH861PQIPG8XM,UPI/UTR38661809828/RAZORPAY/SBI,2025-02-23,194525,UTR38661809828
BNK_T7DVO342P0KQD8,NACH/UTR49639689713/RAZORPAY/FEDERAL,2025-02-24,253737,UTR49639689713
BNK_9Z5JL6UFKY28NV,UPI/UTR38735037775/RAZORPAY/FEDERAL/6409,2025-02-27,225854,UTR38735037775
BNK_4Z4UR2YUPMANQY,UPI/UTR95346740742/RAZORPAY/AXIS,2025-02-27,481786,UTR95346740742
BNK_JMMUZUQED0GV81,NEFT/UTR24234537620/RAZORPAY/AXIS,2025-02-28,455663,UTR24234537620
BNK_4JNMYK8516SP18,UPI/UTR45264782411/RAZORPAY/HDFC/3726,2025-02-28,241705,UTR45264782411
BNK_52ALUNQR8O1KJW,NACH/UTR12518693203/RAZORPAY/FEDERAL,2025-03-02,479354,UTR12518693203
BNK_WT2YBUH7JYGSBO,IMPS/UTR58424451606/RAZORPAY/KOTAK/7671,2025-03-04,406646,UTR58424451606
BNK_1LTO4RQ3Q7GKTM,UPI/UTR59925838609/RAZORPAY/SBI,2025-03-04,111188,UTR59925838609
BNK_JZ09OWGMF4LN5R,IMPS/UTR23417722009/RAZORPAY/FEDERAL/7223,2025-03-04,33541,UTR23417722009
BNK_A8MLIK22XMQ664,NACH/UTR90853741136/RAZORPAY/AXIS,2025-03-05,40446,UTR90853741136
BNK_P1O8M291AZHZKN,RTGS/UTR12094142051/RAZORPAY/INDUSIND,2025-03-05,80453,UTR12094142051
BNK_LUHHS4DILRZQ8B,UPI/UTR82904296987/RAZORPAY/FEDERAL/7144,2025-03-06,61768,UTR82904296987
BNK_6P4NP00NQOHN3D,IMPS/UTR72129773550/RAZORPAY/ICICI/4434,2025-03-05,21798,UTR72129773550
BNK_ERV0LG92MJEQA2,UPI/UTR96553062756/RAZORPAY/ICICI,2025-03-06,42206,UTR96553062756
BNK_JP0XSM9GM51QD4,NACH/UTR74838536939/RAZORPAY/KOTAK/6987,2025-03-06,123632,UTR74838536939
BNK_PATD93EZEMQT78,NACH/UTR38223258903/RAZORPAY/SBI,2025-03-07,167960,UTR38223258903
BNK_IRVXD2ZU4NS7NV,NACH/UTR94303961993/RAZORPAY/ICICI,2025-03-08,190021,UTR94303961993
BNK_E1MY6PO0M24US7,UPI/UTR42088170240/RAZORPAY/HDFC/3961,2025-03-09,100421,UTR42088170240
BNK_3VZZXT9QUBWRP8,IMPS/UTR22759253798/RAZORPAY/HDFC,2025-03-08,30372,UTR22759253798
BNK_UCM5FYCZU80ZRZ,IMPS/UTR71095157558/RAZORPAY/INDUSIND/8407,2025-03-09,24630,UTR71095157558
BNK_LQH7PPCADUVL91,NEFT/UTR88916451940/RAZORPAY/HDFC/2461,2025-03-10,66188,UTR88916451940
BNK_LV6TX0TBKG8B35,NACH/UTR34790480835/RAZORPAY/SBI,2025-03-11,62245,UTR34790480835
BNK_G7NFDINU31EIWU,NEFT/UTR74577819097/RAZORPAY/HDFC,2025-03-10,129674,UTR74577819097
BNK_67XKWQ0YWM9Q7F,NACH/UTR24941417230/RAZORPAY/YES/5699,2025-03-11,94028,UTR24941417230
BNK_VG688U595CEKOF,IMPS/UTR25789113301/RAZORPAY/YES/2361,2025-03-11,125825,UTR25789113301
BNK_M9RWV9NJS96ALG,IMPS/UTR21969911775/RAZORPAY/KOTAK/8093,2025-03-12,86578,UTR21969911775
BNK_YCJ4Q0RR1L9GVB,RTGS/UTR75223652028/RAZORPAY/INDUSIND,2025-03-12,42752,UTR75223652028
BNK_Q749Q6QF1PAFL9,IMPS/UTR90213493539/RAZORPAY/INDUSIND,2025-03-13,92684,UTR90213493539
BNK_Q6FWTV1DJJZQFE,NEFT/UTR30401920697/RAZORPAY/ICICI/6349,2025-03-13,98889,UTR30401920697
BNK_TNLZTWXOL4BKUU,NACH/UTR55628044623/RAZORPAY/HDFC,2025-03-14,61502,UTR55628044623
BNK_08DNX80NKXKBEF,UPI/UTR81605034933/RAZORPAY/AXIS/1497,2025-03-14,81854,UTR81605034933
BNK_57GE0Q5ZJAUCYH,UPI/UTR64846803951/RAZORPAY/INDUSIND/9149,2025-03-15,150194,UTR64846803951
BNK_QE8XAVMNKW7WVY,NEFT/UTR85167870389/RAZORPAY/FEDERAL,2025-03-15,101088,UTR85167870389
BNK_BZ5NTDYWM8RABR,NEFT/UTR78899772675/RAZORPAY/FEDERAL/2508,2025-03-16,58818,UTR78899772675
BNK_WOW73O1BLOG0NQ,IMPS/UTR63578108639/RAZORPAY/SBI,2025-03-16,27893,UTR63578108639
BNK_8SO5WISRCVPUZ1,NEFT/UTR23475577028/RAZORPAY/YES/5601,2025-03-17,42164,UTR23475577028
BNK_93EIOIV67KAYP4,UPI/UTR72255789791/RAZORPAY/FEDERAL/2644,2025-03-17,94158,UTR72255789791
BNK_4OPF541A1HYP5M,NEFT/UTR89674410096/RAZORPAY/FEDERAL,2025-03-18,73963,UTR89674410096
BNK_Z01SOSR2HVNKVO,UPI/UTR18920850963/RAZORPAY/KOTAK,2025-03-18,94317,UTR18920850963
BNK_LHAPWF520XKIAI,UPI/UTR26204208607/RAZORPAY/KOTAK,2025-03-19,54148,UTR26204208607
BNK_TN0PLCFR7CL6P3,IMPS/UTR31759284709/RAZORPAY/INDUSIND,2025-03-19,98653,UTR31759284709
BNK_B7EI5R8VO4KVFF,RTGS/UTR17983659837/RAZORPAY/INDUSIND,2025-03-20,69940,UTR17983659837
BNK_Z2NAR3SHLX0ST6,NACH/UTR77511046788/RAZORPAY/AXIS,2025-03-20,24825,UTR77511046788
BNK_82QZTT1BLOW2R5,UPI/UTR67704323732/RAZORPAY/AXIS,2025-03-21,49881,UTR67704323732
BNK_BQAM97XO485D4V,NACH/UTR86362532221/RAZORPAY/ICICI,2025-03-21,141131,UTR86362532221
BNK_RTT1E32WITPBD7,IMPS/UTR80717913096/RAZORPAY/KOTAK,2025-03-22,121999,UTR80717913096
BNK_EN9NSJX4FOGX8I,UPI/UTR39385479847/RAZORPAY/KOTAK,2025-03-22,36276,UTR39385479847
BNK_JPF240SHDKKG1R,NACH/UTR85130371716/RAZORPAY/ICICI,2025-03-23,51841,UTR85130371716
BNK_MQZADWAJGF00HH,IMPS/UTR66828019822/RAZORPAY/KOTAK,2025-03-25,-55592,UTR66828019822
BNK_AFMNE6X1JD3VUR,UPI/UTR85621065673/RAZORPAY/ICICI/5734,2025-03-26,-96725,UTR85621065673
BNK_S3J0EVZYMKX9KH,IMPS/UTR98353577966/RAZORPAY/AXIS,2025-03-29,-75721,UTR98353577966
BNK_1NYC7H81JMBPTP,NEFT/UTR24116853866/RAZORPAY/FEDERAL,2025-03-30,-56538,UTR24116853866
BNK_FVMYPJ2NNOC3AR,UPI/UTR23702559428/RAZORPAY/ICICI,2025-03-29,-73605,UTR23702559428
BNK_YKJB85LFOS9DJ9,IMPS/UTR78171646559/RAZORPAY/FEDERAL/5098,2025-04-02,-99872,UTR78171646559
BNK_81BXD7ITQRT8G7,UPI/UTR62677381362/RAZORPAY/KOTAK,2025-04-01,-23318,UTR62677381362
BNK_ODKD3HHGWHP08D,UPI/UTR57008521802/RAZORPAY/FEDERAL,2025-04-01,-20222,UTR57008521802
BNK_XWWC05SORHTMT1,UPI/UTR26437167231/RAZORPAY/ICICI,2025-04-04,-16002,UTR26437167231
BNK_MH0ZNSGWOC4191,IMPS/UTR88399887394/RAZORPAY/HDFC/5949,2025-04-06,-33192,UTR88399887394
BNK_752A97PNFIRCVC,NEFT/UTR25122548552/RAZORPAY/INDUSIND,2025-04-05,-40970,UTR25122548552
BNK_ACEQRQ6B0JI1T3,NACH/UTR20016461991/RAZORPAY/KOTAK,2025-04-06,-87438,UTR20016461991
BNK_DF6YV2VP6F0O7Y,UPI/UTR81277017850/RAZORPAY/HDFC/6810,2025-04-10,-51293,UTR81277017850
BNK_T6AO3FJPO4DILG,UPI/UTR58311016868/RAZORPAY/INDUSIND,2025-04-11,-40059,UTR58311016868
BNK_S8TSNC19ARSOZ9,IMPS/UTR13833102044/RAZORPAY/AXIS,2025-04-11,-81554,UTR13833102044
BNK_5YRWQ2DXX60LXE,NACH/UTR86590451129/RAZORPAY/FEDERAL,2025-04-12,-32660,UTR86590451129
BNK_KDD49IK3TDW7V1,UPI/UTR37038845096/RAZORPAY/HDFC,2025-04-12,-77173,UTR37038845096
BNK_5KCRX6SFJQD9C7,NACH/UTR32618462282/RAZORPAY/YES/2079,2025-04-11,-11971,UTR32618462282
BNK_WLA9DI89QSNVYF,RTGS/UTR71675485760/RAZORPAY/FEDERAL,2025-04-15,-17722,UTR71675485760
BNK_Q14MAFMAR9LEOK,UPI/UTR97187371781/RAZORPAY/KOTAK/2001,2025-04-13,-17075,UTR97187371781
BNK_RANDDEPTLT05UQ,UPI/UTR66866524023/RAZORPAY/SBI,2025-04-13,204824,UTR66866524023
BNK_ZV7PQOVVI1YX9D,NEFT/UTR88855176702/RAZORPAY/FEDERAL/1669,2025-04-16,49553,UTR88855176702
BNK_WOX06ZXUNHU25Z,RTGS/UTR68272195918/RAZORPAY/FEDERAL,2025-04-14,205125,UTR68272195918
BNK_7K98XVI673KLLZ,NEFT/UTR28383994195/RAZORPAY/FEDERAL,2025-04-15,198169,UTR28383994195
BNK_VIU21HO3YRFBEN,RTGS/UTR68314079728/RAZORPAY/YES,2025-04-18,201134,UTR68314079728
BNK_YF87SW1K9M94UZ,IMPS/UTR34940556321/RAZORPAY/SBI,2025-04-18,1913991,UTR34940556321
BNK_WXD0DL7U1P8OTX,UPI/UTR54502441629/RAZORPAY/HDFC,2025-04-20,493259,UTR54502441629
BNK_09UW8PDWXEZIHZ,NACH/UTR88523977765/RAZORPAY/FEDERAL,2025-04-21,1924202,UTR88523977765
BNK_E1BAKU4NC0IBA6,RTGS/UTR33885847457/RAZORPAY/ICICI/2880,2025-04-20,198245,UTR33885847457
BNK_HE9WIEEO9H5IHJ,UPI/UTR86542993325/RAZORPAY/FEDERAL/3012,2025-04-21,201250,UTR86542993325
BNK_8RWQ1CGEDBT8BZ,NACH/UTR72476589470/RAZORPAY/INDUSIND,2025-04-23,1991017,UTR72476589470
BNK_G6UACOTFVAN0FV,NEFT/UTR48734255686/RAZORPAY/ICICI,2025-04-26,46970,UTR48734255686
BNK_OL0V0HXEF73GGA,NEFT/UTR84614274174/RAZORPAY/HDFC/5144,2025-04-25,1924910,UTR84614274174
BNK_K1ACFSF6ZFY40I,IMPS/UTR84540351652/RAZORPAY/FEDERAL,2025-04-26,189582,UTR84540351652
BNK_2QYRUY4KJ8GVSK,UPI/UTR92338023156/RAZORPAY/FEDERAL/8509,2025-04-28,50729,UTR92338023156
BNK_B166XTF52BWHNY,NEFT/UTR83469651751/RAZORPAY/AXIS/5843,2025-04-28,479295,UTR83469651751
BNK_LLGYG4F4DESRWQ,NEFT/UTR53917003395/RAZORPAY/YES,2025-04-29,482240,UTR53917003395
BNK_79I3EVJN2J6BVV,NEFT/UTR57538061155/RAZORPAY/HDFC/9720,2025-04-30,49404,UTR57538061155
BNK_I9RTJ6U5A2X54U,IMPS/UTR49245946547/RAZORPAY/ICICI,2025-05-03,498071,UTR49245946547
BNK_NNVUM2ENI8WX46,UPI/UTR49237227822/RAZORPAY/FEDERAL/1461,2025-05-03,49462,UTR49237227822
BNK_BJXG56W0MQA1CC,UPI/UTR24993558961/RAZORPAY/KOTAK/4524,2025-05-02,25155,UTR24993558961
BNK_FN24XCRWDWF1TQ,NACH/UTR46307560802/RAZORPAY/FEDERAL/7386,2025-05-03,25155,UTR46307560802
BNK_8YJMYVMNEDYL7U,NEFT/UTR78714295335/RAZORPAY/SBI,2025-05-03,37614,UTR78714295335
BNK_TO1KVTORP59YEQ,NEFT/UTR87785978070/RAZORPAY/HDFC,2025-05-04,37614,UTR87785978070
BNK_FBCE5Z3ZTDS7XS,NACH/UTR50101415608/RAZORPAY/KOTAK,2025-05-04,39340,UTR50101415608
BNK_F6FTSCJLEI6WGL,IMPS/UTR86921751774/RAZORPAY/YES,2025-05-05,39273,UTR86921751774
BNK_2XDEYW1TCFI4PL,RTGS/UTR69473717885/RAZORPAY/KOTAK,2025-05-05,7109,UTR69473717885
BNK_530TJ2T9O5A439,IMPS/UTR44918178684/RAZORPAY/ICICI/7079,2025-05-06,6957,UTR44918178684
BNK_MPYI46N05FL046,IMPS/UTR39608462049/RAZORPAY/INDUSIND/8869,2025-05-07,44684,UTR39608462049
BNK_7HN98X16F4ZZW5,NACH/UTR94511410509/RAZORPAY/SBI/5797,2025-05-08,44863,UTR94511410509
BNK_J7SOYGY21JMAS4,IMPS/UTR55039930368/RAZORPAY/FEDERAL/7850,2025-05-07,69474,UTR55039930368
BNK_08L4PJAGXLQ0S5,UPI/UTR79699892843/RAZORPAY/YES,2025-05-08,69289,UTR79699892843
BNK_914ABAZD84VF16,RTGS/UTR64724037782/RAZORPAY/AXIS,2025-05-08,25204,UTR64724037782
BNK_KT6VGF8IG8ICFN,RTGS/UTR45756016756/RAZORPAY/YES,2025-05-09,25046,UTR45756016756
BNK_VUMMWCMZX8J5MS,RTGS/UTR30936075477/RAZORPAY/AXIS,2025-05-09,12482,UTR30936075477
BNK_T9LP2E2ASOEVGK,IMPS/UTR15456679136/RAZORPAY/YES,2025-05-10,12650,UTR15456679136
BNK_G9353R4DTAD4WU,IMPS/UTR74660272648/RAZORPAY/KOTAK,2025-05-10,15140,UTR74660272648
BNK_BGUQJJ1GJPMH3U,UPI/UTR70024815619/RAZORPAY/HDFC/5807,2025-05-11,15140,UTR70024815619
BNK_UFEQJ4PZC5YPOH,NEFT/UTR42251751470/RAZORPAY/ICICI,2025-05-11,73666,UTR42251751470
BNK_F7Y5R7UG44C937,UPI/UTR10907415046/RAZORPAY/ICICI,2025-05-12,73582,UTR10907415046
