id,order_id,amount,currency,status,method,captured,amount_refunded,refund_status,fee,tax,description,notes,created_at,settlement_id
pay_6ZX1TV18KGYGGS,order_NPUEVJLZFFLB7W,111476,INR,captured,wallet,True,0,,2006,361,Payment for Enterprise Package,"{""order"": ""order_NPUEVJLZFFLB7W""}",1739118600,setl_XRUM2LHGCSOTDH
pay_ZBCGJC36OQOLOE,order_AZC0B4MSKYVK7N,85611,INR,captured,upi,True,0,,1540,277,Payment for Monthly Pass,"{""order"": ""order_AZC0B4MSKYVK7N""}",1739215800,setl_3BFH024KWK585X
pay_0P4E05QMKTGV44,order_FTJ5CCASBUOV6T,416912,INR,captured,netbanking,True,0,,6670,1200,Payment for Standard Tier,"{""order"": ""order_FTJ5CCASBUOV6T""}",1739298600,setl_T9Q1NI10KQSOSX
pay_GNZEI3ZRRHF4AB,order_UFWBUCJG8VUAZX,152225,INR,captured,netbanking,True,0,,2740,493,Payment for Annual License,"{""order"": ""order_UFWBUCJG8VUAZX""}",1739392200,setl_KDQ95G3V23GXJ0
pay_XYLNFXJ4PNJY1O,order_2RNTJLMZ04X0QZ,66776,INR,captured,upi,True,0,,1201,216,Payment for Platform Access,"{""order"": ""order_2RNTJLMZ04X0QZ""}",1739457000,setl_FHOMTZZF8ADF7P
pay_CK82853UY8U118,order_QQVAECW9YIL8SA,270414,INR,captured,upi,True,0,,4326,778,Payment for Service Charge,"{""order"": ""order_QQVAECW9YIL8SA""}",1739572200,setl_3IDY3C7RM6J8Y6
pay_RHZN4KGEUIDJIP,order_NF8F3GR94SZ2KU,129329,INR,captured,card,True,0,,2327,418,Payment for Annual License,"{""order"": ""order_NF8F3GR94SZ2KU""}",1739655000,setl_UOYC3RWQMMU7JA
pay_1S9DWD7OI0PESG,order_BM65Q57TE8TVQ0,253085,INR,captured,upi,True,0,,4049,728,Payment for Premium Plan,"{""order"": ""order_BM65Q57TE8TVQ0""}",1739719800,setl_5PXT6RIDLOFAS1
pay_P2RNZBC1FJOTG6,order_JNA9ZN9I9H0DXH,263777,INR,captured,netbanking,True,0,,4220,759,Payment for Consultation Fee,"{""order"": ""order_JNA9ZN9I9H0DXH""}",1739813400,setl_O87F00TERKMBY9
pay_1S05WNWLC83GY1,order_FKOLDXB7GBDGBX,240606,INR,captured,card,True,0,,3849,692,Payment for Premium Plan,"{""order"": ""order_FKOLDXB7GBDGBX""}",1739917800,setl_NRWVBHZA7X73QX
pay_ABKAE6A9HL1737,order_SUUDQFJ6IJKUUH,490567,INR,captured,card,True,0,,7849,1412,Payment for Platform Access,"{""order"": ""order_SUUDQFJ6IJKUUH""}",1739986200,setl_CLRR6Z3DXB3N27
pay_VAK9W9PFB3HN14,order_EB8753AYEQAHTH,227057,INR,captured,card,True,0,,3632,653,Payment for Consultation Fee,"{""order"": ""order_EB8753AYEQAHTH""}",1740087000,setl_SJR0FZAUXBGK2W
pay_IF86LTHET25LZS,order_E99F77LU8EL501,360464,INR,captured,netbanking,True,0,,5767,1038,Payment for Platform Access,"{""order"": ""order_E99F77LU8EL501""}",1740148200,setl_5OOP767J2DG1WJ
pay_18GP51KFK7Y6QX,order_DSGV6TOLAQ665D,25579,INR,captured,wallet,True,0,,511,91,Payment for Service Charge,"{""order"": ""order_DSGV6TOLAQ665D""}",1740223800,setl_LXZF0DZWDZ09WF
pay_DKNNCPTKEZJSSZ,order_WD0W9RY79KVLS9,89586,INR,captured,card,True,0,,1612,290,Payment for Premium Plan,"{""order"": ""order_WD0W9RY79KVLS9""}",1740353400,setl_MEUSWRGVZ9AAWE
pay_TFVGE2L4ZJD5N3,order_KSGNBHDS26FMR5,182813,INR,captured,wallet,True,0,,3290,592,Payment for Add-on Module,"{""order"": ""order_KSGNBHDS26FMR5""}",1740400200,setl_LL1D9S9HBN5ELB
pay_UD2ZDLX1Q8F6JN,order_G7L4LRCER4KMUS,356729,INR,captured,upi,True,0,,5707,1027,Payment for Monthly Pass,"{""order"": ""order_G7L4LRCER4KMUS""}",1740504600,setl_OZDUCKQVIIFRCH
pay_4C68AU9DKBPVWZ,order_OPHGFT4MPK5EAX,272609,INR,captured,wallet,True,0,,4361,784,Payment for Annual License,"{""order"": ""order_OPHGFT4MPK5EAX""}",1740591000,setl_F5X9EE346Z7WQP
pay_B93WKCS4KEK4AE,order_GVFQ3JZR25MDF7,300544,INR,captured,card,True,0,,4808,865,Payment for Renewal,"{""order"": ""order_GVFQ3JZR25MDF7""}",1740670200,setl_FR91IPWH0MX1EG
pay_WZE4EX6U86ZJQ7,order_W7JP61LFC1NLC8,34822,INR,captured,netbanking,True,0,,696,125,Payment for Renewal,"{""order"": ""order_W7JP61LFC1NLC8""}",1740774600,setl_JPR7VGRF1HX6ZD
pay_GBA9IN2XR838AM,order_MZOHXS75T0IC0R,469107,INR,captured,wallet,True,0,,7505,1350,Payment for Standard Tier,"{""order"": ""order_MZOHXS75T0IC0R""}",1740861000,setl_A6WIXAW63DW4C3
pay_8W2MAIETDN1TH1,order_XJG2Y8RGYBXKPM,381018,INR,captured,wallet,True,0,,6096,1097,Payment for Renewal,"{""order"": ""order_XJG2Y8RGYBXKPM""}",1735774200,setl_21B07G2RE6ZVLH
pay_866PB90SPO3ZDR,order_C1YOHMI9AYFQUV,308807,INR,captured,netbanking,True,0,,4940,889,Payment for Renewal,"{""order"": ""order_C1YOHMI9AYFQUV""}",1735857000,setl_9QEZG5WZAWNYTK
pay_6K8DJZR5SWK8TE,order_MPXKC5I8XOMXLV,50774,INR,captured,upi,True,0,,913,164,Payment for Platform Access,"{""order"": ""order_MPXKC5I8XOMXLV""}",1735911000,setl_Z4QKE2GJR81BMQ
pay_MLVHS21HD4Y89O,order_RVSCYOZPNAMLQU,66276,INR,captured,card,True,0,,1192,214,Payment for Monthly Pass,"{""order"": ""order_RVSCYOZPNAMLQU""}",1736022600,setl_H50OPF060O4VFK
pay_BNW8BKXCGW1VGL,order_L42JZNTMFEK2O7,81617,INR,captured,card,True,0,,1469,264,Payment for Annual License,"{""order"": ""order_L42JZNTMFEK2O7""}",1736094600,setl_FHS32UY84ZZ2P6
pay_1TZ8G1A0774RZG,order_YD49PSO1LQSRNK,40828,INR,captured,upi,True,0,,816,146,Payment for Renewal,"{""order"": ""order_YD49PSO1LQSRNK""}",1736199000,setl_ZCRNQ0Y4IO9P46
pay_WDC112HXRJM4T8,order_BP6NLNQBU4KZRE,176419,INR,captured,netbanking,True,0,,3175,571,Payment for Top-up Credit,"{""order"": ""order_BP6NLNQBU4KZRE""}",1736267400,setl_ZRDYXYUR4SOR8W
pay_HJKU2W8ZUVJUTP,order_MC3SKXLOJSYT5W,417693,INR,captured,upi,True,0,,6683,1202,Payment for Service Charge,"{""order"": ""order_MC3SKXLOJSYT5W""}",1736361000,setl_SGRX37JW34670C
pay_XU1SRDV1L30307,order_HDHJO5CTZETRIJ,494126,INR,captured,upi,True,0,,7906,1423,Payment for Service Charge,"{""order"": ""order_HDHJO5CTZETRIJ""}",1736458200,setl_2FRNLX6B02B7YJ
pay_IZ1XEVO7Q5EGVL,order_KDNON4UAAUWIDQ,334408,INR,captured,card,True,0,,5350,963,Payment for Annual License,"{""order"": ""order_KDNON4UAAUWIDQ""}",1736519400,setl_J4BWVF8GUAS173
pay_GRMQDZPJL9R9KM,order_P6J37SPF0R8U7W,211934,INR,captured,card,True,0,,3390,610,Payment for Top-up Credit,"{""order"": ""order_P6J37SPF0R8U7W""}",1736613000,setl_PGBGQFQE6RP9UQ
pay_OG85D4F2K1XERP,order_3LYEX3SR5RUP13,291867,INR,captured,wallet,True,0,,4669,840,Payment for Basic Subscription,"{""order"": ""order_3LYEX3SR5RUP13""}",1736688600,setl_WPPBMQIYFRWSKP
pay_EG3ZGARFI44TD1,order_FPE60QRAQIK3OM,431315,INR,captured,card,True,0,,6901,1242,Payment for Annual License,"{""order"": ""order_FPE60QRAQIK3OM""}",1736778600,setl_D4PORU09BOS076
pay_36BCPWEIJMMB5J,order_FYSYZ7PQ4DDV28,14505,INR,captured,card,True,0,,290,52,Payment for Annual License,"{""order"": ""order_FYSYZ7PQ4DDV28""}",1736865000,setl_3BDW56FKPS0DXM
pay_OX5WWPM3X15DTO,order_Z5STHSLMWA6TJ3,169466,INR,captured,card,True,0,,3050,549,Payment for Standard Tier,"{""order"": ""order_Z5STHSLMWA6TJ3""}",1736980200,setl_KPS04JSE17QUAM
pay_N8VOEUBFN9KR2F,order_VB66H3REM5PUU6,396379,INR,captured,netbanking,True,0,,6342,1141,Payment for Service Charge,"{""order"": ""order_VB66H3REM5PUU6""}",1737055800,setl_2RZV1SQQQ5L2XO
pay_8GZKDF6J76BIVI,order_SS8JLTCBW6ATVD,85859,INR,captured,card,True,0,,1545,278,Payment for Renewal,"{""order"": ""order_SS8JLTCBW6ATVD""}",1737113400,setl_1XEUQ4S2FTGI88
pay_T2XCB3YYM33MG1,order_ZAQ7QHAK7MDWKZ,474378,INR,captured,wallet,True,0,,7590,1366,Payment for Platform Access,"{""order"": ""order_ZAQ7QHAK7MDWKZ""}",1737232200,setl_IRNK6ZHH3O5URT
pay_R3VWMJDIMBM271,order_W1WUDCBL4CE7PK,37948,INR,captured,upi,True,0,,758,136,Payment for Premium Plan,"{""order"": ""order_W1WUDCBL4CE7PK""}",1737318600,setl_WCYUKND1IVXAN2
pay_Y4UMKLD56R7WYQ,order_HR133NO3AAMTFP,369265,INR,captured,wallet,True,0,,5908,1063,Payment for Renewal,"{""order"": ""order_HR133NO3AAMTFP""}",1737408600,setl_W6M9HKHJG4IHGJ
pay_ZSR8RUW2XH6QIH,order_PNF4JD1KSIBSMQ,248409,INR,captured,netbanking,True,0,,3974,715,Payment for Consultation Fee,"{""order"": ""order_PNF4JD1KSIBSMQ""}",1737462600,setl_PNRJAPJC6KSTCJ
pay_7A34MPYO2TLA27,order_F8LWVV59HOTGDU,307780,INR,captured,netbanking,True,0,,4924,886,Payment for Top-up Credit,"{""order"": ""order_F8LWVV59HOTGDU""}",1737545400,setl_Q6DDTBYRGC8KIX
pay_UO8I5JWK6Z0HR9,order_T9CD1LQJSQCZ0N,482538,INR,captured,netbanking,True,0,,7720,1389,Payment for Standard Tier,"{""order"": ""order_T9CD1LQJSQCZ0N""}",1737639000,setl_04OAE7L0RCTI8F
pay_HT7EHMGOLOQC3X,order_NCHKV9DT94G8V9,333616,INR,captured,netbanking,True,0,,5337,960,Payment for Renewal,"{""order"": ""order_NCHKV9DT94G8V9""}",1737750600,setl_ZY9YLW5L4RMVVN
pay_V37IC0LZIGIKQW,order_J2C9OGPS0132AN,70830,INR,captured,upi,True,0,,1274,229,Payment for Annual License,"{""order"": ""order_J2C9OGPS0132AN""}",1737804600,setl_417VF0JQQNVCEQ
pay_65FPYST5V0175D,order_U23JH0ZAGRD1PP,477381,INR,captured,upi,True,0,,7638,1374,Payment for Service Charge,"{""order"": ""order_U23JH0ZAGRD1PP""}",1737916200,setl_KPGGERSDUHH03G
pay_QY5SXAW7LW580Y,order_IR02M77RXZDNVZ,151521,INR,captured,netbanking,True,0,,2727,490,Payment for Consultation Fee,"{""order"": ""order_IR02M77RXZDNVZ""}",1737988200,setl_552ZBRD399Q68R
pay_9LNY2SVHOTQF74,order_RQVFX2ZVL9E9ZR,314361,INR,captured,netbanking,True,0,,5029,905,Payment for Platform Access,"{""order"": ""order_RQVFX2ZVL9E9ZR""}",1738099800,setl_3RZN9L3H03ZB5G
pay_BIRY8XNY2X15XJ,order_XNECRYSAUUJ02G,333714,INR,captured,wallet,True,0,,5339,961,Payment for Enterprise Package,"{""order"": ""order_XNECRYSAUUJ02G""}",1738179000,setl_RXPUDC62G3AUT3
pay_MEWCJN6OCJPZTC,order_09ZGNX3VPF9PAV,320697,INR,captured,netbanking,True,0,,5131,923,Payment for Renewal,"{""order"": ""order_09ZGNX3VPF9PAV""}",1738243800,setl_CEDTCXNMJ5IAN8
pay_IDUDK73A8Y7ERY,order_YTEAG3APTM9X79,218130,INR,captured,card,True,0,,3490,628,Payment for Standard Tier,"{""order"": ""order_YTEAG3APTM9X79""}",1738326600,setl_8YBQG716GNEMBR
pay_BO06FHRXJPT2ZL,order_15S74NDDAFS1IY,8046,INR,captured,card,True,0,,160,28,Payment for Top-up Credit,"{""order"": ""order_15S74NDDAFS1IY""}",1738420200,setl_M90PKR1IFSI159
pay_M30VVIJVDDWVB8,order_53GQD7WKR1TFEP,363068,INR,captured,netbanking,True,0,,5809,1045,Payment for Consultation Fee,"{""order"": ""order_53GQD7WKR1TFEP""}",1738510200,setl_Z614UMNWEPRS82
pay_6K9WAM0KJAX57U,order_0Y8JWVHPLHW4OQ,198520,INR,captured,card,True,0,,3573,643,Payment for Platform Access,"{""order"": ""order_0Y8JWVHPLHW4OQ""}",1738618200,setl_0PFRRQ3GU7GKL5
pay_NMK7YYZ6R9I8KC,order_MM7DBFPMGP6YWK,17583,INR,captured,netbanking,True,0,,351,63,Payment for Platform Access,"{""order"": ""order_MM7DBFPMGP6YWK""}",1738672200,setl_5JRNJ622592FFQ
pay_8ZNA8NZXC45BNC,order_CU3FG00ZKOM2ZK,34289,INR,captured,netbanking,True,0,,685,123,Payment for Basic Subscription,"{""order"": ""order_CU3FG00ZKOM2ZK""}",1738758600,setl_F5B1SA3Y5T37SZ
pay_MEYL6SS1A2R5BF,order_YCW8IHYFZ9S9VS,169874,INR,captured,wallet,True,0,,3057,550,Payment for Standard Tier,"{""order"": ""order_YCW8IHYFZ9S9VS""}",1738845000,setl_1QEKW7BZYI9V8U
pay_U4I5YMQT3DGD8O,order_POCMVH0EQT8FHU,157389,INR,captured,wallet,True,0,,2833,509,Payment for Annual License,"{""order"": ""order_POCMVH0EQT8FHU""}",1738931400,setl_91C329HHA1PJGF
pay_H9PTFNM88UA3A6,order_S5ZXQOMTS1EGPG,308236,INR,captured,upi,True,0,,4931,887,Payment for Premium Plan,"{""order"": ""order_S5ZXQOMTS1EGPG""}",1739039400,setl_VTN4YPKW7493DX
pay_7O0OLFIZEEUO16,order_4FLDAA1FWT9UA0,307961,INR,captured,wallet,True,0,,4927,886,Payment for Annual License,"{""order"": ""order_4FLDAA1FWT9UA0""}",1739100600,setl_9W1GXHG403NJBC
pay_YEJHDZXQ3P87JH,order_4Z8D2VFHZPQVJL,120218,INR,captured,upi,True,0,,2163,389,Payment for Standard Tier,"{""order"": ""order_4Z8D2VFHZPQVJL""}",1739208600,setl_DNHM63Q68JOV58
pay_BTSMAQ3OKLMC1R,order_BK9RX647DI3E95,154089,INR,captured,netbanking,True,0,,2773,499,Payment for Platform Access,"{""order"": ""order_BK9RX647DI3E95""}",1739313000,setl_0ID033TAYB5BBK
pay_7NQWHOCPY8UDQD,order_DAQJRTMETMHOPM,60396,INR,captured,netbanking,True,0,,1087,195,Payment for Enterprise Package,"{""order"": ""order_DAQJRTMETMHOPM""}",1739363400,setl_PNBN7GGGJVSDBI
pay_D2MRMTXJQ3KMSX,order_54RJSXFOH9MBUZ,302411,INR,captured,card,True,0,,4838,870,Payment for Basic Subscription,"{""order"": ""order_54RJSXFOH9MBUZ""}",1739478600,setl_PHD7NDJWT695G6
pay_8DJKLUYLUYHETK,order_DUWTN5PEPL7ZQP,253081,INR,captured,card,True,0,,4049,728,Payment for Platform Access,"{""order"": ""order_DUWTN5PEPL7ZQP""}",1739575800,setl_POAU8P1WKISETU
pay_JWPXEFAF0ISZHR,order_KDVNJN2Q3FKEOU,101492,INR,captured,netbanking,True,0,,1826,328,Payment for Service Charge,"{""order"": ""order_KDVNJN2Q3FKEOU""}",1739647800,setl_BXXQ6MF5QAFS4H
pay_C1V47LZN9UHJPK,order_HF33GUWYH36MOT,65017,INR,captured,upi,True,0,,1170,210,Payment for Standard Tier,"{""order"": ""order_HF33GUWYH36MOT""}",1739727000,setl_CG06XR3URMWUEC
pay_RE0DRIMR25I7A2,order_HVNYARNNEZTEEW,223229,INR,captured,upi,True,0,,3571,642,Payment for Service Charge,"{""order"": ""order_HVNYARNNEZTEEW""}",1739791800,setl_6MM7IDAO13TB25
pay_KVR5NBHGPBKTMA,order_V6763V1M3PP00C,146714,INR,captured,card,True,0,,2640,475,Payment for Premium Plan,"{""order"": ""order_V6763V1M3PP00C""}",1739921400,setl_DNZY47QUUSFN07
pay_ZVMCPSILN3OX5F,order_L2MOXQ9WFB76AV,36883,INR,captured,card,True,0,,737,132,Payment for Service Charge,"{""order"": ""order_L2MOXQ9WFB76AV""}",1739993400,setl_3S2SUMH3B0N9CC
pay_5AEJT70EBPY9E5,order_76MOUZE66VW9B0,410088,INR,captured,netbanking,True,0,,6561,1180,Payment for Annual License,"{""order"": ""order_76MOUZE66VW9B0""}",1740069000,setl_MQOQ4KREG167D6
pay_7U0S3KDZ4PPJ59,order_0EMC20LSJWS1ZL,198745,INR,captured,netbanking,True,0,,3577,643,Payment for Top-up Credit,"{""order"": ""order_0EMC20LSJWS1ZL""}",1740151800,setl_7P72L4X5BWAEN7
pay_OIKS62C1JLOPO6,order_J0M3LOUFHW8WLV,258618,INR,captured,wallet,True,0,,4137,744,Payment for Renewal,"{""order"": ""order_J0M3LOUFHW8WLV""}",1740267000,setl_A02DZ61TXSNHFT
pay_8UR6TIARONTDI9,order_OINUXL39DG5RIF,230199,INR,captured,upi,True,0,,3683,662,Payment for Enterprise Package,"{""order"": ""order_OINUXL39DG5RIF""}",1740353400,setl_WR0UI1JLMFLUOA
pay_S3AOFC9LGYTLCQ,order_FMUIW7J35VLWOJ,491056,INR,captured,netbanking,True,0,,7856,1414,Payment for Annual License,"{""order"": ""order_FMUIW7J35VLWOJ""}",1740432600,setl_TXCF0KJD2V1L1V
pay_N79HMHVL66SAJX,order_XO9ZJCUBZQVQG0,464430,INR,captured,netbanking,True,0,,7430,1337,Payment for Platform Access,"{""order"": ""order_XO9ZJCUBZQVQG0""}",1740511800,setl_XTDNWZZG4C4EPZ
pay_7LY7500LNKKUO4,order_JH9JPDMN1S3YG8,246355,INR,captured,upi,True,0,,3941,709,Payment for Standard Tier,"{""order"": ""order_JH9JPDMN1S3YG8""}",1740580200,setl_VFU9PXYKM8T0JS
pay_L88L12QFAF5KCI,order_HDIY4NRMQYZ6Y3,488578,INR,captured,card,True,0,,7817,1407,Payment for Add-on Module,"{""order"": ""order_HDIY4NRMQYZ6Y3""}",1740666600,setl_Z1DE1E1630POCR
pay_MTN29TNYFM7VH3,order_0QBKERN6YJMK3T,414470,INR,captured,wallet,True,0,,6631,1193,Payment for Standard Tier,"{""order"": ""order_0QBKERN6YJMK3T""}",1740767400,setl_GMALWVMB0IDD0W
pay_XJQ2WDIZHW0VQP,order_VTRUML3F4RTGOO,113599,INR,captured,upi,True,0,,2044,367,Payment for Platform Access,"{""order"": ""order_VTRUML3F4RTGOO""}",1740861000,setl_XUCR9C0TK1QQFV
