ledger_entry_id,invoice_ref,expected_amount,expected_date,narrative_text
LDG_TKSZP7G7SIWJM2,INV-46010,204576,2025-01-23,Settlement for Service Charge
LDG_MJEGQTOAMDVLNK,INV-68292,343117,2025-01-24,Settlement for Enterprise Package
LDG_V6DIXFWUXX8L2D,INV-80373,134284,2025-01-25,Settlement for Renewal
LDG_GYSPENGWYX9TRF,INV-25328,387809,2025-01-27,Settlement for Consultation Fee
LDG_1YRUJOQW5DSK7N,INV-42447,120620,2025-01-28,Settlement for Service Charge
LDG_WFOY4DD1VN8LFJ,INV-37925,182080,2025-01-28,Settlement for Renewal
LDG_0E6MPSJ9WRSB4G,INV-45227,131396,2025-01-30,Settlement for Add-on Module
LDG_K47O3LQI7E1DDQ,INV-41034,223238,2025-01-30,Settlement for Basic Subscription
LDG_2MTR6SNGLH62C9,INV-60134,191511,2025-02-01,Settlement for Service Charge
LDG_DRLCMLW83Y0MAH,INV-84127,427686,2025-02-01,Settlement for Renewal
LDG_DMT8VT43PT5R5R,INV-22675,424008,2025-02-03,Settlement for Top-up Credit
LDG_GH30153SFLSE45,INV-21703,363154,2025-02-03,Settlement for Enterprise Package
LDG_OLFARK6O0U93MZ,INV-88647,98104,2025-02-04,Settlement for Renewal
LDG_KK0VM59M6MG87O,INV-15992,121524,2025-02-06,Settlement for Consultation Fee
LDG_8J0NMEOQ4YRP5G,INV-67372,223510,2025-02-06,Settlement for Platform Access
LDG_L1VZNQDXAMW2TN,INV-69566,64211,2025-02-07,Settlement for Monthly Pass
LDG_AFYH1FKJ4YK1B3,INV-23955,444073,2025-02-08,Settlement for Monthly Pass
LDG_N2EJ0AS1SSRKXL,INV-52065,111476,2025-02-09,Settlement for Enterprise Package
LDG_GG24479QTKCD0R,INV-43127,85611,2025-02-11,Settlement for Monthly Pass
LDG_N75BXD8WJ0UUNN,INV-57349,416912,2025-02-12,Settlement for Standard Tier
LDG_DX6TA7YPP5ZP7R,INV-25403,152225,2025-02-13,Settlement for Annual License
LDG_KBVSIGBIAF92MO,INV-77915,66776,2025-02-13,Settlement for Platform Access
LDG_NL65UJG1SO1ESP,INV-73214,270414,2025-02-15,Settlement for Service Charge
LDG_X7PWO6CMLXZVO5,INV-31964,129329,2025-02-16,Settlement for Annual License
LDG_ONJPI163YK03O4,INV-94671,253085,2025-02-16,Settlement for Premium Plan
LDG_79WCXZ2EI9212P,INV-54357,263777,2025-02-17,Settlement for Consultation Fee
LDG_IWG0ODWMQX5GGO,INV-96098,240606,2025-02-19,Settlement for Premium Plan
LDG_B0OQVSHKOECUBO,INV-30079,490567,2025-02-19,Settlement for Platform Access
LDG_TGSQ7AITMOFMMW,INV-88263,227057,2025-02-21,Settlement for Consultation Fee
LDG_78IYHHG8PWY55P,INV-11967,360464,2025-02-21,Settlement for Platform Access
LDG_A1ARR3VRHXQPVA,INV-36588,25579,2025-02-22,Settlement for Service Charge
LDG_OU83G47RRBEFQ5,INV-54742,89586,2025-02-24,Settlement for Premium Plan
LDG_FE8UDTTJ72UGL6,INV-29571,182813,2025-02-24,Settlement for Add-on Module
LDG_CD31NRXD356WAF,INV-63188,356729,2025-02-25,Settlement for Monthly Pass
LDG_F0992QC6DR08CW,INV-20494,272609,2025-02-26,Settlement for Annual License
LDG_DTM4VXJJ2JVQYI,INV-15376,300544,2025-02-27,Settlement for Renewal
LDG_O03CINY2ET9MKB,INV-67154,34822,2025-03-01,Settlement for Renewal
LDG_CJ1GNFIUE2WNF5,INV-53975,469107,2025-03-02,Settlement for Standard Tier
LDG_W9HEYCE4QGM5V2,INV-35448,381018,2025-01-02,Settlement for Renewal
LDG_XZU1EMTX015Z11,INV-32972,308807,2025-01-03,Settlement for Renewal
LDG_LMNTFK7ORFQLA0,INV-97235,50774,2025-01-03,Settlement for Platform Access
LDG_R0I2FKXWEXKG6X,INV-49834,66276,2025-01-05,Settlement for Monthly Pass
LDG_ECY2C11BD2SCEJ,INV-37504,81617,2025-01-05,Settlement for Annual License
LDG_MV9E40KZUJ2XOR,INV-36094,40828,2025-01-07,Settlement for Renewal
LDG_LDY5EGTBXPSPAQ,INV-94945,176419,2025-01-07,Settlement for Top-up Credit
LDG_EGI3QUPXBFEJ2X,INV-41258,417693,2025-01-09,Settlement for Service Charge
LDG_6W51OB537QO4Z5,INV-31001,494126,2025-01-10,Settlement for Service Charge
LDG_KJW6NYQAELYYZZ,INV-13771,334408,2025-01-10,Settlement for Annual License
LDG_Y5AYYOV84FC3XQ,INV-75288,211934,2025-01-11,Settlement for Top-up Credit
LDG_CSEXGGOC5KVQYW,INV-86751,291867,2025-01-12,Settlement for Basic Subscription
LDG_MIH6MV4XEKZ83Y,INV-71504,431315,2025-01-13,Settlement for Annual License
LDG_EP768SY7P1ZSCM,INV-39908,14505,2025-01-14,Settlement for Annual License
LDG_DZ3CC5RQNSVSOJ,INV-69547,169466,2025-01-16,Settlement for Standard Tier
LDG_18S1SAXT8JH34U,INV-85609,396379,2025-01-17,Settlement for Service Charge
LDG_B0UKOEFUKPV8LY,INV-46872,85859,2025-01-17,Settlement for Renewal
LDG_5APYX4L4OESRSB,INV-83415,474378,2025-01-19,Settlement for Platform Access
LDG_RWGEBEVSXMVTFQ,INV-65182,37948,2025-01-20,Settlement for Premium Plan
LDG_5EGTYLPW71V4KF,INV-28931,369265,2025-01-21,Settlement for Renewal
LDG_AK32OOUXQS1FOI,INV-44227,248409,2025-01-21,Settlement for Consultation Fee
LDG_RV7VSYJAFCO3S6,INV-97135,307780,2025-01-22,Settlement for Top-up Credit
LDG_Z43XZ6OLBA117N,INV-67941,482538,2025-01-23,Settlement for Standard Tier
LDG_9P5EL2B2O31I0M,INV-88390,333616,2025-01-25,Settlement for Renewal
LDG_GPJ60SRYZX70IB,INV-31281,70830,2025-01-25,Settlement for Annual License
LDG_U9DSAV917RMPN6,INV-97205,477381,2025-01-27,Settlement for Service Charge
LDG_ET0DY571VXNZ0N,INV-97225,151521,2025-01-27,Settlement for Consultation Fee
LDG_5B7KXUPR6H2HXN,INV-86072,314361,2025-01-29,Settlement for Platform Access
LDG_FU4B9SNTP8AK8S,INV-95542,333714,2025-01-30,Settlement for Enterprise Package
LDG_8TV4REASFEN0B0,INV-98842,320697,2025-01-30,Settlement for Renewal
LDG_764CAQKDM0OAPH,INV-14643,218130,2025-01-31,Settlement for Standard Tier
LDG_H5NSZ9HPCPBDN7,INV-90801,8046,2025-02-01,Settlement for Top-up Credit
LDG_OJGFHZ52QZSKHZ,INV-61150,363068,2025-02-02,Settlement for Consultation Fee
LDG_7E1J7V2A2T34DF,INV-94473,198520,2025-02-04,Settlement for Platform Access
LDG_7NTTRTIDZS13HD,INV-95715,17583,2025-02-04,Settlement for Platform Access
LDG_F2XHDCV4BKTCV1,INV-59868,34289,2025-02-05,Settlement for Basic Subscription
LDG_JRJ5XFEUB4O47E,INV-70390,169874,2025-02-06,Settlement for Standard Tier
LDG_YFZMYOA2VCYWL9,INV-80189,157389,2025-02-07,Settlement for Annual License
LDG_O3Z0ANIK5J42OI,INV-70810,308236,2025-02-09,Settlement for Premium Plan
LDG_C8CYNL63GAGUVB,INV-64230,307961,2025-02-09,Settlement for Annual License
LDG_6UNVSDKV54C6P1,INV-52147,120218,2025-02-10,Settlement for Standard Tier
LDG_UX9L0IJKCU5X0H,INV-41525,154089,2025-02-12,Settlement for Platform Access
LDG_MKV0DSZRK6ILCG,INV-36683,60396,2025-02-12,Settlement for Enterprise Package
LDG_QF8WXKK2ABKVBL,INV-29284,302411,2025-02-14,Settlement for Basic Subscription
LDG_EVSZZSU8E6XFWZ,INV-17977,253081,2025-02-15,Settlement for Platform Access
LDG_XU71SEL8MWOB4F,INV-89408,101492,2025-02-16,Settlement for Service Charge
LDG_8CU47SOCZDQ7JB,INV-30691,65017,2025-02-16,Settlement for Standard Tier
LDG_64PKNT5I6LTDMO,INV-56787,223229,2025-02-17,Settlement for Service Charge
LDG_44PAABMWUOUC6T,INV-52072,146714,2025-02-19,Settlement for Premium Plan
LDG_IL9YQ8OCUCNRI2,INV-57443,36883,2025-02-20,Settlement for Service Charge
LDG_N18B850PK5LMFK,INV-52310,410088,2025-02-20,Settlement for Annual License
LDG_YWWIMT8545YRWV,INV-64808,198745,2025-02-21,Settlement for Top-up Credit
LDG_B03NO355CSZ0A0,INV-42415,258618,2025-02-23,Settlement for Renewal
LDG_SEH5E5RWSF5PAE,INV-31245,230199,2025-02-24,Settlement for Enterprise Package
LDG_LSEUNNRLST5488,INV-71825,491056,2025-02-25,Settlement for Annual License
LDG_YC3S0DPJHSG04A,INV-97519,464430,2025-02-26,Settlement for Platform Access
LDG_PMXD6LQGA3QUPO,INV-30807,246355,2025-02-26,Settlement for Standard Tier
LDG_PKN3B8PFY4QCYD,INV-33576,488578,2025-02-27,Settlement for Add-on Module
LDG_MWKOG0Z0C682U9,INV-20323,414470,2025-03-01,Settlement for Standard Tier
LDG_GF10OO1PVLND58,INV-47925,113599,2025-03-02,Settlement for Platform Access
LDG_WRPK0ZFKNWBHKV,INV-48704,75774,2025-03-03,Settlement for Platform Access
LDG_22J7Q4KFMM0QPO,INV-79520,145305,2025-03-04,Settlement for Add-on Module
LDG_2T8LLIHKPJ7HME,INV-52810,65549,2025-03-04,Settlement for Top-up Credit
LDG_AW4IOAR4G58O9Q,INV-87435,297917,2025-03-05,Settlement for Platform Access
LDG_PW5K0JJSP49CD3,INV-86674,296742,2025-03-07,Settlement for Annual License
LDG_LM8E49ITE92SRL,INV-84460,56329,2025-03-07,Settlement for Basic Subscription
LDG_36Z4DSXLSUTOTH,INV-54223,131218,2025-03-09,Settlement for Consultation Fee
LDG_XP5CITUF8CYOTW,INV-51670,228555,2025-03-09,Settlement for Basic Subscription
LDG_69XFQ1ENNGAY37,INV-72270,217010,2025-03-10,Settlement for Top-up Credit
LDG_M0W3C1ZA0DV6NY,INV-93269,138478,2025-03-11,Settlement for Add-on Module
LDG_0H2K2P3AJFAX1C,INV-52888,163870,2025-03-12,Settlement for Annual License
LDG_RV2Y7CDABBAJAQ,INV-40121,237082,2025-03-13,Settlement for Basic Subscription
LDG_ZL1KHW8GAKH3YC,INV-85631,163374,2025-03-14,Settlement for Annual License
LDG_HGTW4CY4F1R9CF,INV-61211,71748,2025-03-15,Settlement for Monthly Pass
LDG_7MIAV1G8NTAFUW,INV-26701,171767,2025-03-16,Settlement for Top-up Credit
LDG_CNAQ2YOTOS87MV,INV-17451,151685,2025-03-17,Settlement for Consultation Fee
LDG_99BV2J3T4H8QFD,INV-53332,172250,2025-03-18,Settlement for Enterprise Package
LDG_8OR9F5IV86ZP1W,INV-75223,76387,2025-03-19,Settlement for Annual License
LDG_GW10C9IX6R1NXH,INV-31271,268838,2025-03-20,Settlement for Top-up Credit
LDG_CO8JEAHDZOMQFX,INV-89332,90117,2025-03-21,Settlement for Basic Subscription
LDG_XZA43HOLDU7JPM,INV-31893,-55592,2025-03-24,Refund credit expected
LDG_DF0WCYR2P6XCW8,INV-13977,-96725,2025-03-25,Refund credit expected
LDG_YQL25S8T6AIDIZ,INV-13049,-75721,2025-03-28,Refund credit expected
LDG_SD0P4775B5NOV3,INV-16076,-56538,2025-03-29,Refund credit expected
LDG_1493685EFZVMT4,INV-83551,-73605,2025-03-28,Refund credit expected
LDG_VAE1ISYERUMEHC,INV-20301,-99872,2025-04-01,Refund credit expected
LDG_ZJ8XKV4VTCDMWS,INV-88410,-23318,2025-03-31,Refund credit expected
LDG_63C36VFH3MI2DN,INV-98529,-20222,2025-03-31,Refund credit expected
LDG_7K8CH3Z3DE4EV5,INV-31981,-16002,2025-04-03,Refund credit expected
LDG_O25TG5JTV75SSU,INV-57750,-33192,2025-04-05,Refund credit expected
LDG_RAD8EJPMLNL7HA,INV-86475,-40970,2025-04-04,Refund credit expected
LDG_PFMCIE4ACJOD8W,INV-61593,-87438,2025-04-05,Refund credit expected
LDG_G3JBRRD44NDVDX,INV-80660,-51293,2025-04-09,Refund credit expected
LDG_2O4Q067CSZVUTB,INV-13703,-40059,2025-04-10,Refund credit expected
LDG_P5YRO1WODGZDN9,INV-69234,-81554,2025-04-10,Refund credit expected
LDG_PSSCP9KJYMJBT3,INV-61948,-32660,2025-04-11,Refund credit expected
LDG_8VPCAYP9YPDAX6,INV-53178,-77173,2025-04-11,Refund credit expected
LDG_HZMJBG3K59S7V5,INV-62336,-11971,2025-04-10,Refund credit expected
LDG_OQMC8FU0AB76LB,INV-16569,-17722,2025-04-14,Refund credit expected
LDG_9SYE6HG4LZ95AO,INV-41671,-17075,2025-04-12,Refund credit expected
LDG_I1AGZGXVXC6SEU,INV-31247,203839,2025-04-12,Settlement expected for Enterprise Package
LDG_ZDNG61SP5OOA9C,INV-26671,49433,2025-04-13,Settlement expected for Standard Tier
LDG_7TLYDSS5B08VYD,INV-55026,204139,2025-04-13,Settlement expected for Basic Subscription
LDG_UO4G4IQ9ENZ9JN,INV-58655,197215,2025-04-14,Settlement expected for Consultation Fee
LDG_LS9B7RY0CGQ4HP,INV-58167,200166,2025-04-15,Settlement expected for Basic Subscription
LDG_X4PZJ42RL1EH8H,INV-74617,1900213,2025-04-16,Settlement expected for Renewal
LDG_ZVHLTMGRAEJPFA,INV-85527,489708,2025-04-17,Settlement expected for Platform Access
LDG_5D3NMYB4BOMZQB,INV-50568,1910350,2025-04-19,Settlement expected for Annual License
LDG_QCG41RK4MKZOM2,INV-84843,197290,2025-04-19,Settlement expected for Basic Subscription
LDG_I248F3VKOG1011,INV-30337,200281,2025-04-20,Settlement expected for Platform Access
LDG_M5CFV2VYN1KJS0,INV-29442,1971952,2025-04-22,Settlement expected for Premium Plan
LDG_QJZGPXF50OJQRL,INV-99374,46970,2025-04-23,Settlement expected for Premium Plan
LDG_BNUS7PSILL0NO8,INV-10125,1911054,2025-04-23,Settlement expected for Annual License
LDG_HR6CMEWT33OODP,INV-36718,189125,2025-04-25,Settlement expected for Standard Tier
LDG_UVQWFWP9K1UOAA,INV-27891,50606,2025-04-25,Settlement expected for Consultation Fee
LDG_MH68NDJU39X6KQ,INV-88176,476989,2025-04-26,Settlement expected for Standard Tier
LDG_72I2F8RPJX0WUZ,INV-18911,479920,2025-04-27,Settlement expected for Renewal
LDG_BS5MYGKNDR07VO,INV-77090,49285,2025-04-29,Settlement expected for Renewal
LDG_R5SOSC0WHS14EC,INV-65765,494486,2025-04-30,Settlement expected for Renewal
LDG_2CAML518DWKXDM,INV-41718,49343,2025-04-30,Settlement expected for Annual License
LDG_ZVWE8G358GEEJG,INV-76044,25762,2025-05-01,Settlement for Platform Access
LDG_5NAYPWLIEOXVKU,INV-57257,38522,2025-05-02,Settlement for Annual License
LDG_ANLIOBL7VJUZ5P,INV-20811,40289,2025-05-03,Settlement for Monthly Pass
LDG_T8FMW4V1FJ2AOY,INV-57396,7280,2025-05-04,Settlement for Service Charge
LDG_F3OB9V1T4JXA2Y,INV-81700,45763,2025-05-06,Settlement for Standard Tier
LDG_08OPEVHTZ4VOYB,INV-34371,70980,2025-05-06,Settlement for Basic Subscription
LDG_TK9VJ0VA0STKA0,INV-30980,25812,2025-05-07,Settlement for Enterprise Package
LDG_2V08KTRPW3HHIG,INV-87500,12782,2025-05-08,Settlement for Top-up Credit
LDG_E0QQXNN861PY2V,INV-36946,15505,2025-05-09,Settlement for Service Charge
LDG_YGSW419A42W44W,INV-46858,75263,2025-05-10,Settlement for Platform Access
LDG_SUMUXQJCTPVEV6,INV-18597,59877,2025-05-11,Settlement for Monthly Pass
LDG_Z7FW0C20X450UH,INV-42960,54012,2025-05-13,Settlement for Annual License
LDG_ZWYIX7BRRBAI3A,INV-45125,9450,2025-05-13,Settlement for Service Charge
LDG_3NETXXP4WVAHBE,INV-19656,97968,2025-05-15,Settlement for Consultation Fee
LDG_EU4KB57L1376QW,INV-21626,95896,2025-05-15,Settlement for Basic Subscription
LDG_LK7IAZGQ095EGV,INV-67215,95445,2025-05-17,Settlement for Consultation Fee
LDG_4MFJHOJALBH1NY,INV-89785,80360,2025-05-17,Settlement for Premium Plan
LDG_0QCULVUKSVZOOT,INV-71081,78861,2025-05-18,Settlement for Top-up Credit
LDG_5M8NZF6YXIS81H,INV-48462,55859,2025-05-20,Settlement for Premium Plan
LDG_90MCZH7827JTRG,INV-53890,60665,2025-05-20,Settlement for Annual License
