record_id,true_category,payment_id,ledger_id,linked_ids,split
REC_0035,clean,pay_TM4J3DAB42HHIH,LDG_OLFARK6O0U93MZ,"[""pay_TM4J3DAB42HHIH""]",tune
REC_0061,clean,pay_8W2MAIETDN1TH1,LDG_W9HEYCE4QGM5V2,"[""pay_8W2MAIETDN1TH1""]",tune
REC_0039,clean,pay_QVS8A0TPV726YG,LDG_AFYH1FKJ4YK1B3,"[""pay_QVS8A0TPV726YG""]",tune
REC_0060,clean,pay_GBA9IN2XR838AM,LDG_CJ1GNFIUE2WNF5,"[""pay_GBA9IN2XR838AM""]",tune
REC_0056,clean,pay_UD2ZDLX1Q8F6JN,LDG_CD31NRXD356WAF,"[""pay_UD2ZDLX1Q8F6JN""]",tune
REC_0077,clean,pay_8GZKDF6J76BIVI,LDG_B0UKOEFUKPV8LY,"[""pay_8GZKDF6J76BIVI""]",tune
REC_0023,clean,pay_XLM5Q201LHLB50,LDG_TKSZP7G7SIWJM2,"[""pay_XLM5Q201LHLB50""]",tune
REC_0064,clean,pay_MLVHS21HD4Y89O,LDG_R0I2FKXWEXKG6X,"[""pay_MLVHS21HD4Y89O""]",tune
REC_0066,clean,pay_1TZ8G1A0774RZG,LDG_MV9E40KZUJ2XOR,"[""pay_1TZ8G1A0774RZG""]",tune
REC_0024,clean,pay_6YUJ7YKTXG4AHF,LDG_MJEGQTOAMDVLNK,"[""pay_6YUJ7YKTXG4AHF""]",tune
REC_0041,clean,pay_ZBCGJC36OQOLOE,LDG_GG24479QTKCD0R,"[""pay_ZBCGJC36OQOLOE""]",tune
REC_0100,clean,pay_7O0OLFIZEEUO16,LDG_C8CYNL63GAGUVB,"[""pay_7O0OLFIZEEUO16""]",tune
REC_0113,clean,pay_OIKS62C1JLOPO6,LDG_B03NO355CSZ0A0,"[""pay_OIKS62C1JLOPO6""]",tune
REC_0025,clean,pay_WQEAO4N5PP3XVK,LDG_V6DIXFWUXX8L2D,"[""pay_WQEAO4N5PP3XVK""]",tune
REC_0007,clean,pay_3D8W3ZP08J3TRP,LDG_08YG0JV1V93KMK,"[""pay_3D8W3ZP08J3TRP""]",tune
REC_0057,clean,pay_4C68AU9DKBPVWZ,LDG_F0992QC6DR08CW,"[""pay_4C68AU9DKBPVWZ""]",tune
REC_0091,clean,pay_IDUDK73A8Y7ERY,LDG_764CAQKDM0OAPH,"[""pay_IDUDK73A8Y7ERY""]",tune
REC_0019,clean,pay_VOBBZ2SF6F7LOW,LDG_RN8QTTY5Y2JR8K,"[""pay_VOBBZ2SF6F7LOW""]",tune
REC_0050,clean,pay_ABKAE6A9HL1737,LDG_B0OQVSHKOECUBO,"[""pay_ABKAE6A9HL1737""]",tune
REC_0119,clean,pay_MTN29TNYFM7VH3,LDG_MWKOG0Z0C682U9,"[""pay_MTN29TNYFM7VH3""]",tune
REC_0043,clean,pay_GNZEI3ZRRHF4AB,LDG_DX6TA7YPP5ZP7R,"[""pay_GNZEI3ZRRHF4AB""]",tune
REC_0003,clean,pay_GTFGQ5C34DXTAD,LDG_JEXQ77AWUDTSEM,"[""pay_GTFGQ5C34DXTAD""]",tune
REC_0104,clean,pay_D2MRMTXJQ3KMSX,LDG_QF8WXKK2ABKVBL,"[""pay_D2MRMTXJQ3KMSX""]",tune
REC_0073,clean,pay_EG3ZGARFI44TD1,LDG_MIH6MV4XEKZ83Y,"[""pay_EG3ZGARFI44TD1""]",tune
REC_0074,clean,pay_36BCPWEIJMMB5J,LDG_EP768SY7P1ZSCM,"[""pay_36BCPWEIJMMB5J""]",tune
REC_0037,clean,pay_EJZHYAPDSWZP6S,LDG_8J0NMEOQ4YRP5G,"[""pay_EJZHYAPDSWZP6S""]",tune
REC_0047,clean,pay_1S9DWD7OI0PESG,LDG_ONJPI163YK03O4,"[""pay_1S9DWD7OI0PESG""]",tune
REC_0038,clean,pay_BJLZY1UU9YMSZD,LDG_L1VZNQDXAMW2TN,"[""pay_BJLZY1UU9YMSZD""]",tune
REC_0011,clean,pay_0ME8F840982N2A,LDG_6XCJ883DHX8BM9,"[""pay_0ME8F840982N2A""]",tune
REC_0075,clean,pay_OX5WWPM3X15DTO,LDG_DZ3CC5RQNSVSOJ,"[""pay_OX5WWPM3X15DTO""]",tune
REC_0016,clean,pay_VASIFPWIOXD9CS,LDG_606N9RR7S20CV3,"[""pay_VASIFPWIOXD9CS""]",tune
REC_0059,clean,pay_WZE4EX6U86ZJQ7,LDG_O03CINY2ET9MKB,"[""pay_WZE4EX6U86ZJQ7""]",tune
REC_0006,clean,pay_C3O18A5UR7KO64,LDG_8QJNV8Z2FLU7U6,"[""pay_C3O18A5UR7KO64""]",tune
REC_0034,clean,pay_9W4J66CNOLJQ52,LDG_GH30153SFLSE45,"[""pay_9W4J66CNOLJQ52""]",tune
REC_0045,clean,pay_CK82853UY8U118,LDG_NL65UJG1SO1ESP,"[""pay_CK82853UY8U118""]",tune
REC_0129,split_settlement,pay_5NA2FQZTIO4M7P,LDG_69XFQ1ENNGAY37,"[""pay_5NA2FQZTIO4M7P"", ""pay_P0PNNLO0HHGH5X"", ""setl_BHTFNSGPYNYJ0U"", ""setl_FO2HOQ5E7L7W05""]",tune
REC_0121,split_settlement,pay_OWWEW9V08LIUQD,LDG_WRPK0ZFKNWBHKV,"[""pay_OWWEW9V08LIUQD"", ""pay_N05XT54FN5G77L"", ""setl_FQ8ABY595CPJZE"", ""setl_1XTAR0KO31NZSX""]",tune
REC_0126,split_settlement,pay_KOBQ6MYM8J2LZW,LDG_LM8E49ITE92SRL,"[""pay_KOBQ6MYM8J2LZW"", ""pay_1FU5X012GRDMT2"", ""setl_NFGAGLSXKUGWCD"", ""setl_Z6X4FMMEN4052W""]",tune
REC_0132,split_settlement,pay_FDFZDMMCMCOCO2,LDG_RV2Y7CDABBAJAQ,"[""pay_FDFZDMMCMCOCO2"", ""pay_ZTDHF15ICYAXZR"", ""setl_CHBIRMC5S3OFAW"", ""setl_WJNN41JH6OXQQ8""]",tune
REC_0128,split_settlement,pay_QGHLZRUWBN6EK6,LDG_XP5CITUF8CYOTW,"[""pay_QGHLZRUWBN6EK6"", ""pay_X6LGOI7OFVWJ7Y"", ""setl_AYB1EYCEF2CTG0"", ""setl_8ZZKK4J1O5HD4H""]",tune
REC_0140,split_settlement,pay_9NR0OAKGDESVDE,LDG_CO8JEAHDZOMQFX,"[""pay_9NR0OAKGDESVDE"", ""pay_91LEUUCBL116CZ"", ""setl_D8A6B3ODF76IMG"", ""setl_7ZD3Q0E03YIOY5""]",tune
REC_0124,split_settlement,pay_8XIZX35A806B4G,LDG_AW4IOAR4G58O9Q,"[""pay_8XIZX35A806B4G"", ""pay_ASFQBVH0KW3PGS"", ""setl_BQ0FOT10GDMIPC"", ""setl_8QO6P43AR6JLT8""]",tune
REC_0130,split_settlement,pay_CTE9W0AN6NBYZM,LDG_M0W3C1ZA0DV6NY,"[""pay_CTE9W0AN6NBYZM"", ""pay_242OM7ZTRJ67DX"", ""setl_35WFW5Q52DEZH0"", ""setl_CD8A2IBCLTRH9V""]",tune
REC_0135,split_settlement,pay_4V74QR14VUYV2E,LDG_7MIAV1G8NTAFUW,"[""pay_4V74QR14VUYV2E"", ""pay_MY9TWCW75VI7LI"", ""setl_YZTHQSE0KIVWM5"", ""setl_3NOZ7QMJCENTOC""]",tune
REC_0127,split_settlement,pay_I2SO19V58B1V1C,LDG_36Z4DSXLSUTOTH,"[""pay_I2SO19V58B1V1C"", ""pay_COFH9194B70LDO"", ""setl_MXCQDJ5CUYDA9A"", ""setl_LL2UNCGWRT9DYF""]",tune
REC_0133,split_settlement,pay_9UBC1KKR2AJ5IQ,LDG_ZL1KHW8GAKH3YC,"[""pay_9UBC1KKR2AJ5IQ"", ""pay_AX54P8RI4BNVQR"", ""setl_RTMPV5LMQ15FBS"", ""setl_4WVT3F2F3HYCPE""]",tune
REC_0131,split_settlement,pay_VGDOFMAOK8TIR0,LDG_0H2K2P3AJFAX1C,"[""pay_VGDOFMAOK8TIR0"", ""pay_P8F8C8CLRKI72O"", ""setl_CQPHLI5L692TUL"", ""setl_GELW8IVI3RQASD""]",tune
REC_0154,refund_misattribution,pay_6DUEPRTIRY3TI0,LDG_2O4Q067CSZVUTB,"[""pay_6DUEPRTIRY3TI0"", ""pay_M2Q22YOKBVPX4N""]",tune
REC_0156,refund_misattribution,pay_767JEZ24WPFDFH,LDG_PSSCP9KJYMJBT3,"[""pay_767JEZ24WPFDFH"", ""pay_J05MPZ05TQM3G9""]",tune
REC_0146,refund_misattribution,pay_3LM7E41OFV14J6,LDG_VAE1ISYERUMEHC,"[""pay_3LM7E41OFV14J6"", ""pay_43F1AYSV6O9E9N""]",tune
REC_0142,refund_misattribution,pay_EE6HW5KYFC6RAN,LDG_DF0WCYR2P6XCW8,"[""pay_EE6HW5KYFC6RAN"", ""pay_TY6D1HFDI3JSTY""]",tune
REC_0152,refund_misattribution,pay_E4T8DL8F5WAZ5B,LDG_PFMCIE4ACJOD8W,"[""pay_E4T8DL8F5WAZ5B"", ""pay_CAN68U1QP2WNV2""]",tune
REC_0157,refund_misattribution,pay_02UPVSF5YC9LUE,LDG_8VPCAYP9YPDAX6,"[""pay_02UPVSF5YC9LUE"", ""pay_RJQENBD0V0NJJ6""]",tune
REC_0150,refund_misattribution,pay_RL0NWRN57LWS1Y,LDG_O25TG5JTV75SSU,"[""pay_RL0NWRN57LWS1Y"", ""pay_Q6T0OTGPEQCYH2""]",tune
REC_0153,refund_misattribution,pay_2BVS3K337OV9WX,LDG_G3JBRRD44NDVDX,"[""pay_2BVS3K337OV9WX"", ""pay_HVY3NUKONDHKBR""]",tune
REC_0159,refund_misattribution,pay_X1CENAGQ39XLP0,LDG_OQMC8FU0AB76LB,"[""pay_X1CENAGQ39XLP0"", ""pay_BN85P3EBQ3VYAR""]",tune
REC_0155,refund_misattribution,pay_9OWP7NL6DMJLXD,LDG_P5YRO1WODGZDN9,"[""pay_9OWP7NL6DMJLXD"", ""pay_W0YCYRNZNZMCCY""]",tune
REC_0141,refund_misattribution,pay_H548JRPE2XN9TX,LDG_XZA43HOLDU7JPM,"[""pay_H548JRPE2XN9TX"", ""pay_FJNJD5SLOC8D6J""]",tune
REC_0148,refund_misattribution,pay_W9RTNFW6SZF4LU,LDG_63C36VFH3MI2DN,"[""pay_W9RTNFW6SZF4LU"", ""pay_R02TYAXY2NZ5X5""]",tune
REC_0173,fee_tier,pay_VLXUIIY3XGWK1G,LDG_BNUS7PSILL0NO8,"[""pay_VLXUIIY3XGWK1G"", ""setl_4I4CXGF8GC0S6E""]",tune
REC_0163,fee_tier,pay_7BI8TJWOFC57PA,LDG_7TLYDSS5B08VYD,"[""pay_7BI8TJWOFC57PA"", ""setl_2NCU22KB8OHL1Z""]",tune
REC_0167,fee_tier,pay_G59MNBO3WZ5I4E,LDG_ZVHLTMGRAEJPFA,"[""pay_G59MNBO3WZ5I4E"", ""setl_C1GXSKOUZXNLJR""]",tune
REC_0175,fee_tier,pay_Z17A8RNXPWNUA6,LDG_UVQWFWP9K1UOAA,"[""pay_Z17A8RNXPWNUA6"", ""setl_4XTKXGY93FON8O""]",tune
REC_0172,fee_tier,pay_5RY27VMVWJMV06,LDG_QJZGPXF50OJQRL,"[""pay_5RY27VMVWJMV06"", ""setl_YYJ5N860ATH9KP""]",tune
REC_0169,fee_tier,pay_FFOHK94W6WUUMO,LDG_QCG41RK4MKZOM2,"[""pay_FFOHK94W6WUUMO"", ""setl_O7V1IZ4JQI55JS""]",tune
REC_0176,fee_tier,pay_U3DN1TJL2FX35L,LDG_MH68NDJU39X6KQ,"[""pay_U3DN1TJL2FX35L"", ""setl_S1A5UGXBRYTIVR""]",tune
REC_0170,fee_tier,pay_5TVGUW48TP37V7,LDG_I248F3VKOG1011,"[""pay_5TVGUW48TP37V7"", ""setl_FYE4HQGOXAIQUS""]",tune
REC_0174,fee_tier,pay_RS51ZEQWF1VVWU,LDG_HR6CMEWT33OODP,"[""pay_RS51ZEQWF1VVWU"", ""setl_HFMTGDLB3J56TA""]",tune
REC_0164,fee_tier,pay_TIJH33IC44TONZ,LDG_UO4G4IQ9ENZ9JN,"[""pay_TIJH33IC44TONZ"", ""setl_W8MINQ4O7VS8CH""]",tune
REC_0165,fee_tier,pay_8YATYE737FENTD,LDG_LS9B7RY0CGQ4HP,"[""pay_8YATYE737FENTD"", ""setl_BRXFX3AT253IQQ""]",tune
REC_0180,fee_tier,pay_UPPH3NWX0TAZ8A,LDG_2CAML518DWKXDM,"[""pay_UPPH3NWX0TAZ8A"", ""setl_E5MIPUYLTDSEKC""]",tune
REC_0181,near_duplicate,pay_WHT37OJ98BYTE9,LDG_ZVWE8G358GEEJG,"[""pay_WHT37OJ98BYTE9"", ""pay_AFPP7SDWYQTUV2""]",tune
REC_0182,near_duplicate,pay_GNPYHRFOZG7FBV,LDG_5NAYPWLIEOXVKU,"[""pay_GNPYHRFOZG7FBV"", ""pay_2I6OEUH8VAQVBD""]",tune
REC_0188,near_duplicate,pay_D5C21O6WW8EIRH,LDG_2V08KTRPW3HHIG,"[""pay_D5C21O6WW8EIRH"", ""pay_RLNF6NV5XU6M9D""]",tune
REC_0192,near_duplicate,pay_7Y853J5SFMZQRS,LDG_Z7FW0C20X450UH,"[""pay_7Y853J5SFMZQRS"", ""pay_JZO98IBOQ18OVE""]",tune
REC_0183,near_duplicate,pay_SEUTLPF4G9H0Y0,LDG_ANLIOBL7VJUZ5P,"[""pay_SEUTLPF4G9H0Y0"", ""pay_5ML51AATN209QV""]",tune
REC_0197,near_duplicate,pay_2BTUFDOAPMLQS8,LDG_4MFJHOJALBH1NY,"[""pay_2BTUFDOAPMLQS8"", ""pay_LXSOL15M9GQJAN""]",tune
REC_0193,near_duplicate,pay_08K4L2LJZL8XRW,LDG_ZWYIX7BRRBAI3A,"[""pay_08K4L2LJZL8XRW"", ""pay_4DBRHGR8CP11GB""]",tune
REC_0200,near_duplicate,pay_81BF8W80UXN3E6,LDG_90MCZH7827JTRG,"[""pay_81BF8W80UXN3E6"", ""pay_OQE09O8A906K37""]",tune
REC_0191,near_duplicate,pay_9D18K9VAK1VPAN,LDG_SUMUXQJCTPVEV6,"[""pay_9D18K9VAK1VPAN"", ""pay_GW3PAJVF9I60K2""]",tune
REC_0195,near_duplicate,pay_AQX16OEM9NNC8Y,LDG_EU4KB57L1376QW,"[""pay_AQX16OEM9NNC8Y"", ""pay_CI08P3LBSUNGKH""]",tune
REC_0184,near_duplicate,pay_9E07PMEXJTNRP1,LDG_T8FMW4V1FJ2AOY,"[""pay_9E07PMEXJTNRP1"", ""pay_I3661L08KGFP94""]",tune
REC_0187,near_duplicate,pay_4OTBGDPUH4GBGO,LDG_TK9VJ0VA0STKA0,"[""pay_4OTBGDPUH4GBGO"", ""pay_8UTD9JYJ3CT5Q5""]",tune
